"Turska je doživjela novo razočaranje nakon što je dizač utega Taner Sagir u srijedu ispao iz natjecanja u kategoriji do 77 kg , ne",uspjevši,True,iz tri pokušaja trzaja podići 165 kg .
"U jedrenju , Ali Kemal završio je tek na 18. mjestu , dok je plivač Serkan Atasay eliminiran u kvalifikacijama pojedinačnog natjecanja na 200 m mješovito ,",završivši,True,tek na 42. mjestu među 46 natjecatelja s vremenom 2:05:25 .
Njegova timska kolegica Buse Dilara Gunaydin nije se uspjela kvalificirati u utrci 200 m prsno --,završivši,True,na 32. mjestu s vremenom 2:31.86 .
"Zamjenik predsjednika Radikalne stranke Dragan Todorović podržao je postupak Pop-Lazić ,",dodavši,True,"kako će biti "" kažnjena zbog lošeg gađanja zbog kojeg je promašila potpredsjednicu "" ."
"Sučeljavajući se s pritiskom tog događaja , režim je polako počeo popuštati svoje stege ,",održavši,True,višestranačke izbore 1991. godine i konačno ustupio kompletnu vlast godinu dana kasnije .
Smanjili smo administraciju,učinivši,True,je proporcionalnoj broju stanovnika .
"Komentirajući ocjene drugih diskutanata da Hrvatska treba hitno privući strane investitore , Šuker je spomenuo prosvjed u Varšavskoj ulici protiv projekta Cvjetni trg",istaknuvši,True,da nitko nema pravo zaustavljati poduzetnika koji je od države dobio svu potrebnu dokumentaciju .
""" Končar je danas tehnološka kompanija koja se razvija na svojem znanju uz proizvodnju unikatnih proizvoda "" , istaknuo je Bago",dodavši,True,"kako se samo tako može uspjeti , jer se s proizvodnjom velikih serija ne može konkurirati velikim svjetskim kompanijama ."
"Ti su problemi međusobno povezani , na što je nedavno upozorio i State Department , kazao je Miliša",dodavši,True,"da Vladino izvješće o zlouporabi droga za 2002. i 2003. godinu nije objektivno te da nitko u Hrvatskoj ne zna točan broj ovisnika o sintetskim drogama kao što je ecstasy , koji se za 15 kuna po komadu nabavlja iz Republike Srpske ."
"Indeks Zagrebačke burze pao je danas za sitnih 0,2 posto",završivši,True,"dan na 1757 bodova , dok je promet , s obzirom na skraćeno radno vrijeme i Badnjak , iznosio popriličnih 57 milijuna kuna ."
"Priznao je i da će Massa vjerojatno ostati i iduće sezone ,",dodavši,True,kako je takav rasplet bio nezamisliv na polovici sezone .
