,""" Teror , strah i mržnja ne smiju imati vjersku motivaciju ili identifikaciju , a ako se takve stvari ipak",dogode,True,", tada one predstavljaju brutalnu i neprihvatljivu zloporabu religije ."
,"Grossman je izjavio kako još uvijek vjeruje kako bi Washington mogao poduprijeti suđenje četvorici generala u Srbiji , ali prije nego se to",dogodi,True,", njih četvorica se moraju javiti u Haag ."
,""" Nažalost , kada pokažemo dobru volju i kada dozvolimo slobodu kretanja za pripadnike KFOR-a , evo što se",dogodi,True,"Srbima na Kosovu i u Mitrovici "" , izjavio je za SETimes ."
,"Ljerka Puljić , starija izvršna potpredsjednica Agrokora , je među onima što su zagovarali snažnu šok terapiju jer se iza toga ' uvijek",dogodi,True,nešto pozitivno ' .
,"Rizik , ili vjerojatnost rizika , mjeri mogućnost da se nešto",dogodi,True,.
,"Mnogi napadači koji uspješno provedu svoje napade nisu nikad uhvaćeni , no ponekad se",dogodi,True,obrat .
,"Hoti vjeruje kako je eksplozija , koja se",dogodila,True,"nakon ulaska policije UN u prostorije suda , "" bila od ručne granate "" aktivirane u dvorištu kompleksa ."
,Svi se slažu da se prekretnica,dogodila,True,"osnivanjem Studija za dizajn pri Arhitektonskom fakultetu , koji je početkom devedesetih odjedanput izbacio na tržište 50-ak školovanih dizajnera ."
,A onda se,dogodila,True,recesija .
,"No i njemu je istekao rok trajanja pa su mu , kaže , došli dečki iz KGB-a i pozvali Vladimira Putina da uvede red , i ta se promjena",dogodila,True,gotovo preko noći .
,Poveli smo 16 razlike i onda se,dogodila,True,totalna blokada .
,"Poplave , koje se smatraju najtežim koje su ikad pogodile zemlju ,",dogodile,True,su se koncem lipnja .
,"Vladimir Karaj , novinar u jednom dnevnom listu u Tirani , imao je samo šest godina kada su se",dogodile,True,promjene u njegovoj zemlji .
,"Nadao sam se da ću nakon rata dobiti natrag svoj posao , ali to se nije",dogodilo,True,". """
,""" Hakiranjem smatramo varanje probojem do naših algoritama ili postavljanjem dodatnih uređaja za varanje , a to se nije",dogodilo,True,", jer smo uložili ogroman napor da isto spriječimo . "" , pojasnio je Alex , dodavši kako pisanje drivera otvorenog koda , za skupljanje signala s Kinecta na PC , nije problem i ništa strašno ."
,To se već,dogodilo,True,izmještanjem međunarodnoga festivala novoga filma i videa iz središta pretvaranjem Multimedijalnog centra u kulturnu ustanovu čiji se sadržaji ne bi mogli nazvati modernima .
,""" Redovito se pitam što se",dogodilo,True,""" , kaže ."
,"Možda se povučete , izbjegavate bilo kakvu interakciju dok se ne ohladite , a onda nastavite gdje ste stali kao da se ništa nije",dogodilo,True,.
,"Također , ne vjerujem da će svi politički akteri u Beogradu i Prištini imati isto mišljenje o tome zašto se to",dogodilo,True,.
,To se nije,dogodilo,True,.
,"Oni koji vrijeme provode u kladionici žalili su nam se da su jučer imali sigurne parove i vjerojatno bi dignuli nešto novca , ali ovog puta se",dogodilo,True,da nisu mogli uplatiti listić zbog pada internetskog sustava .
,"Međutim , isti fenomen",dogodio,True,"se 1997. godine , kada je DS bila prisiljena otići s vlasti ."
,Izgred se,dogodio,True,"u okruženju višemjesečnih napetosti oko budućnosti spornog sjevera Kosova -- gdje su Srbi većina , ali kosovske vlasti nadziru područje ."
,Najteže objašnjiv slučaj,dogodio,True,se prije nekoliko godina kad je tvrdi Violeta Butina uspjela izliječiti stariju ženu koja je patila od neizlječive Parkinsonove bolesti .
,Vođa Obraza Mladen Obradović upozorio je kako će organizatori biti odgovorni za ono što bi se moglo,dogoditi,True,ukoliko se događaj održi kao što je planirano .
,"Samim time smo bili upoznati sa scenarijima i filmovima nekih naših vršnjaka , ali i pogreškama koje bi se i nama mogle",dogoditi,True,prilikom snimanja te samom organizacijom snimanja filma .
,Setimes : Što će se,dogoditi,True,ako ipak bude korišten veto ?
,To će se službeno,dogoditi,True,1. srpnja 2013. godine .
,"Sporazum , pohvaljen od strane ekonomista i vlade , izazvao je prosvjede zaposlenih , koji strahuju da bi novi vlasnik mogao krenuti sa smanjenjem broja radnih mjesta , unatoč tome što su dobili uvjeravanja da se to neće",dogoditi,True,.
,""" Kada se takve stvari promijene -- odnosno kada se vlast promijeni miroljubivo prvi put u povijesti Crne Gore , a nisam siguran da će se to brzo",dogoditi,True,"-- ti Crnogorci počet će misliti kako vrijedi biti poduzetnički nastrojen "" , pojašnjava Jovović ."
,"Budući da se IZ stalno bavi pitanjima nepravilnog tumačenja vjere , nasiljem i mržnjom , mnogi se pitaju kako se takav čin mogao",dogoditi,True,u zemlji u kojoj vjerske zajednice zagovaraju suživot .
,"Očekuje se , naime , da će se najveći spektakl",dogoditi,True,"već sutra , dakle dan prije no što IFA otvori svoja vrata za posjetitelje , kada će na posebnom događanju za novinare biti predstavljen Samsungov Galaxy Tab , prvi tablet koji najavljenim specifikacijama ozbiljno konkurira Appleovom iPadu ."
,U talijanskoj okupacijskoj zoni uspjeli su se,nagoditi,True,s talijanskim vojnim instancama .
,"Također će biti iznesena preporuka treba li Bugarska ući u EU 1. siječnja 2007. godine , ili treba",odgoditi,True,njezin prijam na godinu dana u skladu sa zaštitnom klauzulom .
,Izvršenje zaštitne mjere oduzimanja vozačke dozvole može se,odgoditi,True,", osim za prekršaje iz članka 300. točke 11. , 12. , 13. i 14. ovoga Zakona , ako organ koji vodi prekršajni postupak utvrdi da se , prema okolnostima u kojima je prekršaj počinjen i prema ponašanju počinitelja nakon počinjenog prekršaja , a s obzirom na njegovo ranije ponašanje u prometu , može očekivati da on i bez izvršenja te mjere neće ubuduće činiti prekršaje u prometu na cesti ."
,Iako je sudac odlučio,odgoditi,True,"iznošenje dokaza , dopustio je iznošenje uvodnih riječi tužiteljstva i obrane ."
