"Građanska inicijativa "" U ime obitelji "" tijekom prvog tjedna prikupljanja",potpisa,True,", unatoč pojedinačnim napadima na volontere , bilježi dobre rezultate ."
Moskva je već,potpisala,True,slične sporazume o borbi protiv droge sa Srbijom i Makedonijom .
"Nekoliko mjeseci prije službenog početka pregovora o članstvu s Bruxellesom u listopadu 2005. godine , Ankara je",potpisala,True,"protokol o proširenju carinskog sporazuma s EU na sve države članice , uključujući Cipar ."
Softver na makedonskom jeziku dio je strateškog sporazuma kojeg je kompanija,potpisala,True,"s makedonskom vladom , a koji za cilj ima poticanje uporabe Microsoftovih proizvoda u zemlji , kao i zaustavljanje širenja piratskog softvera ."
Ministarstva obrane Crne Gore i Grčke,potpisala,True,su u srijedu ( 7. studenog ) povelju o suradnji .
Zaštitne klauzule u sporazumu o priključenju kojeg je Rumunjska,potpisala,True,s Unijom omogućavaju Bruxellesu odgodu prijama na godinu dana ako zemlja ne ispuni svoje obveze .
Nadam se kako su strane koje su,potpisale,True,"svibanjski sporazum , odnosno premijer Gruevski i vođa DUI-a Ali Ahmeti , toga u potpunosti svjesni ."
Albanija i Rusija,potpisale,True,su u petak ( 26. kolovoza ) sporazum o suradnji na području borbe protiv krijumčara droge .
"Bugarska , Grčka i Rusija",potpisale,True,sporazum o projektu izgradnje značajnog naftovoda
"Nakon više od deset godina pregovaranja o izgradnji naftovoda Bourgas - Alexandroupolis , Bugarska , Grčka i Rusija",potpisale,True,"su 12. travnja povelju o suradnji , utirući put za pokretanje projekta ."
"Albanija , Makedonija i Crna Gora",potpisale,True,sporazum o slobodnom kretanju
"Na sastanku Zemalja potpisnica Atlantske povelje 14. prosinca u Tirani , Albanija , Makedonija i Crna Gora",potpisale,True,su sporazum kojim se građanima ove tri zemlje omogućuje putovanje s putovnicom i biometrijskim identifikacijskim ispravama na području tih triju zemalja .
"Prema protokolu kojeg su HLC , IDC i Documenta",potpisale,True,"u travnju 2004. godine , udruge su se složile surađivati i koordinirati svoje napore u dokumentiranju i otkrivanju istine o sukobima iz devedesetih , okončavajući nekažnjivost povreda humanitarnog prava u prošlosti i donoseći pravdu žrtvama ."
Sporazum su,potpisali,True,albanski ministar unutarnjih poslova Bujar Nishani i šef ruske Savezne službe za kontrolu narkotika Victor Ivanov .
"EU je u srijedu ( 13. kolovoza ) priopćila kako je spremna uputiti promatrače u pobunjenu gruzijsku regiju Južnu Osetiju , u cilju nadzora provedbe sporazuma o prekidu vatre koji su Moskva i Tbilisi",potpisali,True,ni 24 sata ranije .
"Ministri razvitka Bugarske i Grčke Valentin Cerovski i Dimitris Sioufas ,",potpisali,True,su dokument zajedno s ruskim ministrom industrije i energetike Viktorom Khristenkom na ceremoniji održanoj u Sofiji .
Pasi i njegov španjolski kolega Miguel Angel Moratinos u četvrtak su,potpisali,True,povelju o razumijevanju o suradnji ministarstava vanjskih poslova dviju zemalja .
""" Mi smo",potpisali,True,"sporazum s predstavnicima srpske manjine , koji pružaju potporu našoj vladi "" , rekao je Sanader najavljujući planove za imenovanje nekoliko predstavnika srpske zajednice na položaje državnih tajnika u vladi ."
"Ministri vanjskih poslova Makedonije i Albanije , Nikola Poposki i Edmond Haxhinasto , 14. prosinca sudjeluju na sastanku na kojem su , s crnogorskim kolegom Milanom Roćenom ,",potpisali,True,sporazum o slobodnom kretanju .
