,Ukoliko navedena ponašanja budu učestala i intenzivna potrebno je,potražiti,True,"pomoć stručnjaka , psihologa ."
,"Kosovski Albanci , koji čine oko 90 posto ukupnog stanovništva pokrajine od oko 2 milijuna ljudi ,",traže,True,punu neovisnost od Srbije .
,Pederi se noću dižu i,traže,True,dudu ispod dječjeg krevetića iako ujutro odlaze na posao a ona ostaje u krevetu .
,"Sretne su one koje ih imaju , ostale ih čitav život",traže,True,.
,Da se narodi kao zajednice ravnopravnih ljudi,traže,True,"i u savezu s drugima i u izvjesnoj , ali ipak ne dugotrajnoj , samoći ona nas zavarava kao tobože jedini izvor slobode i autentičnosti iskustvo je koje Hrvatska itekako nosi u sebi ."
,Stanovnici Banje Koviljače,traže,True,da vlada premjesti neke tražitelje azila u ostale dijelove Srbije i zaustavi ilegalne imigrante .
,""" Tražimo da se osobe koje",traže,True,"azil premjeste u ostale dijelove Srbije i [ na ] mjesto zakonskog boravka "" , rekao je za SETimes gradonačelnik Loznice Vidoje Petrović ."
,Oni,traže,True,da naša Uprava prihoda bude neovisna institucija .
,"Dragovoljci su slučaj prijavili i Ministarstvu zaštite okoliša , prostornog uređenja i graditeljstva , od kojega",traže,True,hitno obustavljanje radova u strogom centru grada .
,""" Podignuli smo svoj glas",tražeći,True,"poboljšanje socijalne i gospodarske situacije romskih građana , njihova obrazovanja , zdravstva , infrastrukture , smještaja , zapošljavanja , što je postalo dio nacionalne strategije za poboljšanje uvjeta života za Rome "" , rekao je Veliu ."
,Turski glavni tužitelj Abdurrahman Yalcinkaya podnio je tužbu Ustavnom sudu zemlje,tražeći,True,zabranu vladajuće stranke .
,"Beograd i kosovski Srbi oštro se protive dolasku kosovske policije i carinika na prijelaze na sjevernom Kosovu ,",tražeći,True,da samo predstavnici međunarodnih misija ostanu na prijelazima .
,"Paneuropski savez za naslijeđe -- neprofitna organizacija koja okuplja više od 200 nevladinih udruga -- priključila se Europskom vijeću i UNESCO-u i uputila pismo turskom ministru vanjskih poslova Abdullahu Gulu ,",tražeći,True,pomoć u spašavanju Allianoia i njegovih rimskih kupatila .
,"Ozak kaže kako je Turska kontaktirala njemačke vlasti u svezi s istragom ,",tražeći,True,informacije i dokaze .
,Ona je u ponedjeljak poslala pismo premijeru Bojku Borisovu,tražeći,True,"od njega da prihvati njezinu ostavku "" na sve dužnosti "" koje obnaša ."
,"Kao nemiran karakter , ali sada i zaposlenik , još koncem 1875. May osniva žurnal za radnike ( Schacht und Huette ) i putuje Njemačkom",tražeći,True,pretplatnike .
,Takvo neugodno iznenađenje je doživjela grupa gledatelja koja se unezvijereno sjatila na kinoblagajnu liverpoolskog Odeon cineplexa,tražeći,True,povrat novaca od izbezumljenih prodavača zbog toga što u cijelom filmu Umjetnik glumci nisu prozborili niti jednu jedninu riječ .
,Na,traženje,True,brojnih djelatnika u katehizaciji biskupi su osnovali sada Nacionalni katehetski ured koji će djelovati uz Tajništvo Biskupske konferencije .
,"Što se redovitog provjeravanja računala tiče , Panda Cloud Antivirus zapravo ne predviđa automatsko skeniranje nego se ono odrađuje na zahtjev ( osim iz glavnog sučelja , skeniranje je moguće aktivirati iz skočnog izbornika u Windowsima ) pri čemu je moguće koristiti optimizirano",traženje,True,ili je moguće namjestiti da se pregledavaju samo one lokacije koje želite .
,"Vrlo grubo pojednostavljeno , sadržaj portala Index.hr se , uz uredničke korekcije , odabire tako da programsko rješenje u prvi plan stavlja vijesti i linkove koje u tom trenutku",traži,True,najviše čitatelja .
,Ovaj dio tijela,traži,True,"nježne poljupce i lagano grickanje , a nekoliko prljavih riječi situaciju će dodatno zakomplicirati ."
,Osamdesetih godina zemlje članice zaključile su da jedinstveno tržište koje se stvara,traži,True,i jedinstvenu valutu .
,"Vizni informacijski sustav ( VIS ) trebao bi poboljšati provedbu zajedničke vizne politike u Europi , te spriječiti , između ostaloga , da osoba kojoj je schengenska viza odbijena u jednoj zemlji",traži,True,takvu vizu u drugoj .
,Tužitelj,traži,True,ukidanje vladajuće turske stranke
,Hrvatska pozvana na ubrzanje reformi koje,traži,True,EU
,Ističući kako svi optuženici koje,traži,True,"ICTY moraju odmah biti poslani u Haag , Drašković je kazao kako su oni donijeli sramotu njegovoj zemlji , te ne zaslužuju zaštitu ."
,"Prema Izvješću o napretku Turske za 2010. godinu , koje je pripremila Europska komisija , EU",traži,True,"da se pravni okvir u Turskoj pozabavi slučajevima imovine zaplijenjene i prodane trećim stranama , uz isticanje potrebe da se osigura puno poštivanje imovinskih prava svih nemuslimanskih vjerskih zajednica ."
,"Pogledala je okolo , kao da je očima",tražila,True,"nekog šefa , ali budući da ni zaposlenika nije bilo previše , nastavila je ono paaa ..."
,U pismu je Ljiljana,tražila,True,"da bude pokopana sa stvarima njezina sina Andrije koji je preminuo godinu dana ranije , od predoziranja drogom ."
,"Izdajalica nije ključ uspjeha , za uspješno dojenje potrebna ti je samo tvoja mala slatka i zdrava bebica koju ćeš hraniti svaki put kada ona to bude",tražila,True,.
,"Kosovski Albanci , koji čine 90 posto od ukupno 2 milijuna stanovnika pokrajine , prihvatili su plan , iako ne bi odmah dobili punu neovisnost od Srbije koju su",tražili,True,.
,""" Neki iz udruga , koji se sad bore protiv Rockwoola , prije toga su",tražili,True,"da ih zaposlimo "" , kaže Boi ."
,Pregovaranje u takvim okolnostima dovelo bi Škotsku u nepovoljan položaj i ' što bi više,tražili,True,"u pregovorima , to je manja vjerojatnost da bi joj članice poput Španjolske ili Belgije , sa svojim pokretima neovisnosti , bile spremne dati jednostavan izlaz , obzirom na presedan koji bi bio i više nego očit ' , navodi se u izvješću ."
,Najprije ste,tražili,True,"da se ugovor raskine , a sada kad je to učinjeno ponovno niste zadovoljni ."
,"Jovanov : Ponovno napadaju ,",tražili,True,"su da se predamo da ne bi bilo žrtava , jer su navodno Male Bare i Tetinje pali ."
,"Predstavnici vladajućih struktura u nastalom postdomovinskom siromaštvu nisu prihvaćali snositi zajednički teret neimaštine , pa se počelo izdvajanjem najprije zastupnika , pa državnih dužnosnika a onda i drugih koji su isticali svoje zasluge za koje su",tražili,True,povoljnija mirovinska i socijalna prava .
,""" Ono što",tražim,True,jest da im ne bude dozvoljeno lažiranje rezultata ili pomicanje golova usred utakmice .
,Vjerujem u suradnju s klasičnom medicinom i zato od liječnika uvijek,tražim,True,informacije o svim aspektima bolesti .
,Još nisam došao do toga da mi nedostaje inspiracije pa da je,tražim,True,.
,"Kako se radi o krupnim građevinskim radovima u najužem središtu grada , svim građanima , kao i samom Gradu , takvim protuzakonitim postupanjem prijeti nenadoknadiva šteta , zbog čega",tražimo,True,"hitno postupanje po ovoj prijavi i zabranu svih daljnjih radova , stoji u prijavi Udruge upućenoj Ministarstvu ."
,Proizvođačima mlijeka je voda prešla preko glave i svakim danom tonu u sve veći gubitak i stoga,tražimo,True,sanaciju kredita svih obiteljskih poljoprivrednih gospodarstava koja se bave proizvodnjom mlijeka .
,""" Nismo protiv reformi ni smanjenja državne uprave tamo gdje je to moguće , ali",tražimo,True,"da se taj proces odvija na način koji neće smanjiti postojeću razinu javnog servisa i radna mjesta , ako se ona mogu očuvati prirodnim odljevom , programiranim zapošljavanjem i rotacijom unutar državne uprave . """
,Tužitelj je,tražio,True,"da se 71 članu stranke , uključujući premijera Recep Tayyip Erdogana , zabrani bavljenje politikom na pet godina ."
,Tvrdi da Sanader nikada nije od njega,tražio,True,"da , bilo posredno ili neposredno , sklapa ugovore s bilo kim , te da prema njegovim saznanjima on nije predmet istrage USKOK-a ."
,"To im je bio vrlo izazovan posao jer je uključivao odgovornost prema tradiciji dobro oblikovanih vizualnih komunikacija Plive u prošlosti , ali je",tražio,True,"i visoku razinu projektiranja tzv. informacijskog dizajna , koji mora biti jasan i nedvosmislen ."
,"Vikao sam protiv Rockwoola ,",tražio,True,da zatvore tvornicu .
,Nitko vam ništa neće dati ako ne,tražite,True,""" , izjavio je ekonomist Abdulla Ahmedi ."
,"Ovo je još jedna dobro poznata softverska tvrtka koja se fokusira na izradu programa za spašavanje podataka , pa ako niti jedan program koji iskušate ne uspije vratiti ono što",tražite,True,", pokušajte s njihovim R-Studio alatom ."
,2. Kontaktirajte web-site i,tražite,True,ih da kupe SSL certifikat od ovlaštene tvrtke za izdavanje certifikata kao što je Verisign .
,"Nemaju sve trajnice iste uvjete za rast , zato",tražite,True,one koje najbolje odgovaraju vašem vrtu .
,Prosvjedi protiv,tražitelja,True,azila u Srbiji pokreću neka pitanja
,"Službeno , postoji 80",tražitelja,True,"azila iz Somalije , Pakistana , Tunisa i drugih afričkih i azijskih zemalja koji žive u centru za azilante u Banji Koviljači , ali zabrinuto lokalno stanovništvo kaže kako je puno više takvih osoba koje ilegalno žive u gradu ."
,"Marić je pojasnila kako je nedavno otvoren drugi centar za azilante u Bogovađi , jer se broj",tražitelja,True,azila u Srbiji povećao deset puta u posljednje tri godine .
,Dužnosnici kažu kako većina građana Banje Koviljače nema ništa protiv,tražitelja,True,"azila , ali jedna skupina širi paniku i neprijateljstvo ."
,""" Na prosvjedu protiv",tražitelja,True,"azila neki ljudi su koristili vrlo zapaljivu retoriku , ne znam jesu li svjesni kuda bi to moglo odvesti "" , izjavio je za SETimes izvršni ravnatelj Centra za zaštitu i pomoć tražiteljima azila Radoš Đurović ."
,Đurović je također rekao da lokalno stanovništvo nikada nije bilo napadnuto od strane,tražitelja,True,"azila , te da policija i dalje nije pružila bilo kakve informacije o okolnostima silovanja britanske turistkinje ."
,""" Ako želite dobiti nešto [ kao manjina ] , morate to",tražiti,True,.
,Kazao je kako će,tražiti,True,"od čelništva stranke da objavi priopćenje , pozivajući etničke Albance na povlačenje iz vladinih institucija ."
,"SETimes : Bi li načelo reciprociteta između dviju zemalja bilo dobro rješenje , i hoće li Kosovo to",tražiti,True,?
,Neka ona [ vlada ] nastavi,tražiti,True,"pojas za spašavanje zbog vlastite nekompetentnosti i neučinkovitosti "" , izjavio je glasnogovornik ND Yiannis Mihelakis 30. kolovoza ."
,"Vlada se jednostavno nije odvažila provesti potrebne reforme , a dio razloga za to treba",tražiti,True,"i u skorim izborima - primjećuje Zrinka Živković-Matijević , analitičarka Raiffeisena ."
,"Franjo Luković , predsjednik Uprave Zagrebačke banke , zaključio je kako treba",tražiti,True,"kratkoročna rješenja , jer je sve ostalo predugo ."
,"Očekuje se da će za većinu poglavlja Hrvatska dobiti mjerila , a za oko trećinu od 33 poglavlja neće se",tražiti,True,dodatni uvjeti za otvaranje pregovora .
