,"Prema riječima pomoćnika ministra unutarnjih poslova Žarka Katića , u Hrvatsku je stigla u lipnju i",podnijela,True,molbu za azil u rujnu .
,"Međutim , zbog ruskih prijetnji o ulaganju veta na tekst , predstavnici šest država koje su",podnijele,True,"dokument -- Belgije , Britanije , Francuske , Njemačke , Italije i Sjedinjenih Država -- u četvrtak nisu mogli odlučiti hoće li nacrt uputiti na glasovanje ."
,Dvojica etničkih albanskih sudaca tog suda odmah su,podnijeli,True,ostavke u znak prosvjeda .
,( 2 ) Ako je više ovrhovoditelja,podnijelo,True,"prijedlog za prijenos u razne dane , sud će prenijeti tražbinu na ovrhovoditelja koji je prvi podnio prijedlog , a ako je više ovrhovoditelja podnijelo prijedlog istoga dana , tražbina će se prenijeti na ovrhovoditelja čija je tražbina najveća ."
,"Ukupno 30 država , osim Kosova i Srbije ,",podnijet,True,"će svoja usmena stajališta do petka , kada se završava ovaj dio suđenja ."
,Mnoge žrtve ne žele,podnijeti,True,tužbu iz osobnog ili obiteljskog straha ili zbog prijetnji nasiljem .
,Odbio je,podnijeti,True,ostavku .
,"Gyurcsany je , u međuvremenu , jasno naglasio kako ne planira popustiti pred pritiskom javnosti i",podnijeti,True,"ostavku , obvezujući se kako će umjesto toga nastaviti s nužnim , ali nepopularnim , mjerama smanjenja proračunskih rashoda ."
,"Da bi vratile imovinu , manjinske zaklade moraju",podnijeti,True,zahtjev turskim vlastima u roku od godinu dana .
,"Turskim Zakonom o zakladama , koji je usvojen 1936. godine , naloženo je da sve zaklade moraju",podnijeti,True,"imovinsku izjavu , koja uključuje sve nekretnine i ostalu imovinu koju posjeduju , dok je 1974. godine , u posebnoj presudi Vrhovnog suda , manjinskim skupinama zabranjena kupovina i registracija nove imovine ."
,Očekivalo se kako će Tariceanu u utorak,podnijeti,True,"ostavku , nakon posjeta Bruxellesu prethodnog dana ."
,"Petkov je optužbe Cvetanova i Tanova nazvao "" apsolutnim lažima i klevetama "" , rekavši kako protiv dvojice dužnosnika namjerava",podnijeti,True,tužbe zbog klevete .
,"Štoviše , iz proračuna koji su skrojili u Banskim dvorima ne vidi se ni namjera države da barem preraspodijeli svoju enormnu potrošnju koja će i u sljedećoj godini iznositi više od 122 milijarde kuna , iako stručnjaci neprekidno upozoravaju da je fiskalni kapacitet Hrvatske mnogo manji i da na dulje staze ne može",podnijeti,True,potrošnju veću od stotinjak milijardi kuna .
