,Pet komentatora čiji komentari,osvoje,True,najveći broj bodova su pobjednici .
,"Najznačajniji datum Francuske Republike jest 14. 07. 1789. godine , kada je jurišem revolucionarnih snaga",osvojena,True,"zloglasna tvrđava Bastille , tamnica u pariškom predgrađu Saint Antoine ."
,Rumunjska tenisačica Raluca Olaru,osvojila,True,"je u nedjelju , 14. lipnja , teniski ATP turnir u Marseilleu , Francuska , izvijestili su rumunjski mediji ."
,Olaru je pobjedom na turniru,osvojila,True,"150 bodova , te je sada na 73. mjestu liste najboljih tenisačica svijeta ."
,Bila je to šesto zlatno i ukupno 19. odličje koje je Hrvatska,osvojila,True,na Europskim plivačkim prvenstvima u 25-metarskim bazenima .
,Učenica 11-tog razreda Američkog sveučilišta u Sofiji,osvojila,True,je prvu nagradu na bugarskom Državnom natjecanju za mlade znanstvene talente .
,"Također ovog tjedna : u Turskoj završene Crnomorske igre , a Srpkinja Jelena Janković",osvojila,True,naslov pobjednice u igri mješovitih parova na Wimbledonu .
,Bugarska je,osvojila,True,"prvo mjesto u ženskom atletskom finalu na 62. Balkanijadi , regionalnom atletskom natjecanju koje je održano prošlog tjedna u Sofiji ."
,Prošle godine Vlašić je,osvojila,True,"zlatno odličje na svjetskom prvenstvu u skoku u vis na otvorenom , koje je održano u Osaki ."
,"Drama "" Yumurta "" ( Jaje ) turskog redatelja Semiha Kaplanoglua",osvojila,True,je u nedjelju ( 9. ožujka ) nagradu za najbolji film na 13. Festivalu tursko-njemačkog filma u Nurembergu .
,"Od ukupno 11 zlatnih odličja za Bugarsku , Tezdzhan Naimova i Teodora Kolarova",osvojile,True,su po tri .
,Jamie Murray iz Velike Britanije i Srpkinja Jelena Janković,osvojili,True,"su u nedjelju ( 8. srpanj ) naslov pobjednika Wimbledona u mješovitim parovima pobijedivši u finalu Jonasa Bjorkmana iz Švedske i Australku Aliciu Molik 6-4 , 3-6 , 6-1 ."
,Prvu nagradu,osvojili,True,su i za ambalažu cementnih vreća Optimo i Strukto proizvođača Cemex-Dalmacijacement na uglednom europskom natječaju ED Awards u Ateni .
,Kultura i društvo : Kadare,osvojio,True,književnu nagradu
,Albanski pisac Ismail Kadare,osvojio,True,"je u četvrtak , 11. lipnja , nagradu za najbolju knjigu na dodjeli albanskih nagrada za kulturu KULT ."
,Kultura i sport : Ivica Kostelić,osvojio,True,zlato u utrci za Svjetski kup
,Hrvat Ivica Kostelić,osvojio,True,je svoje prvo zlato u Svjetskom kupu od 2003. godine .
,Hrvatski plivač Aleksej Puninski,osvojio,True,je 10. prosinca zlatno odličje u utrci na 50 metara leptir stilom na Europskom plivačkom prvenstvu u 25-metarskim bazenima u Helsinkiju .
,"Naime , prema istraživanju Quarterly PC Tracker Survey koje je objavio IDC , Apple je u trećem kvartalu isporučio 1,99 milijuna računala Mac , čime je",osvojio,True,"10,6 % američkog tržišta računala , što je najveći udio tvrtke u povijesti ."
,Srbijanski tenisač Novak Đoković,osvojio,True,"je drugi ATP naslov ove godine , pobijedivši Austrijanca Juergena Melzera 4-6 , 6-3 , 6-2 u finalu turnira Open de Moselle , koji je igran u Metzu u Francuskoj ."
,"Drugi srbijanski tenisač , Janko Tipsarević ,",osvojio,True,je turnir u belgijskom gradu Monsu .
,Najbrži kupci koji su od 20 do 24 sata potrošili iznos od minimalno 100 kuna imali su priliku,osvojiti,True,"i jednu od preko 400 nagrada u nagradnoj igri "" Odlijepi i osvoji "" , a kako bi nakon shoppinga imali priliku i osvježiti se , dva ugostiteljska objekta : Pizzeria City Bar i Coffe Republic također su snizili svoje cijene ."
,"Da bi bila zastupljena u Saboru , politička stranka mora",osvojiti,True,preko 5 posto glasova .
,Vi ne samo da možete,osvojiti,True,neku od sjajnih nagrada već možete čak i odabrati koju nagradu želite .
