potpis,NOUN
potpisati,VERB
potpisati,VERB
potpisati,VERB
potpisati,VERB
potpisati,VERB
potpisati,VERB
potpisati,VERB
potpisati,VERB
potpisati,VERB
potpisati,VERB
potpisati,VERB
potpisati,VERB
potpisati,VERB
potpisati,VERB
potpisati,VERB
potpisati,VERB
potpisati,VERB
potpisati,VERB
potpisati,VERB
potpisati,VERB
potpisati,VERB
potpisati,VERB
potpisati,VERB
potpisati,VERB
potpisati,ADJ
potpisati,ADJ
potpisati,ADJ
potpisati,ADJ
potpisati,ADJ
potpisati,ADJ
potpisati,ADJ
potpisati,ADJ
potpisati,ADJ
potpisati,ADJ
potpisati,VERB
potpisati,VERB
potpisati,VERB
potpisati,VERB
potpisati,VERB
potpisati,VERB
potpisati,VERB
potpisati,VERB
potpisati,VERB
