,Nadao sam se da ću nakon rata,dobiti,True,"natrag svoj posao , ali to se nije dogodilo . """
,""" Ako želite",dobiti,True,"nešto [ kao manjina ] , morate to tražiti ."
,Tri filma iz jugoistočne Europe uvrštena su na popis 12 filmova koji će,dobiti,True,financijsku potporu iz fonda za kinematografiju Vijeća Europe ( CoE ) Eurimages .
,"Obraćajući se okupljenima , premijer Sali Berisha kazao je kandidatima kako će , kada budu izabrani ,",dobiti,True,snažnu potporu vlada za svoje projekte .
,Svaka obitelj može,dobiti,True,do 500 eura pomoći .
,"Investicija nove poslovne zgrade vrijedna je 13 milijuna kuna , a zgrada sadrži oko 1000 četvornih metara poslovnog prostora raspoređenih na jednu podzemnu i tri nadzemne etaže , a osim prijemnih i administrativnih ureda te dvorana za sastanke , podzemna etaža opremljena je za procjenu šteta na vozilima , čime će osiguranici i poslovni partneri",dobiti,True,"još kvalitetniju , bržu i suvremeniju ponudu osiguravateljnih proizvoda na jednom mjestu ."
,Nakon stotinjak milijuna kuna,dobiti,True,u 2008. godini mirovinska su društva ( drugi stup ) zajedno iskazala nešto više od 140 milijuna kuna dobiti .
,Posao će,dobiti,True,"izravnom pogodbom , ali bez klasičnog nadmetanja kako je objasnio Vinko Filipović , ravnatelj Agencije za odgoj i obrazovanje , institucije nadležne za nabavu i distribuciju školskih naslova ."
,Ministar unutarnjih poslova Ranko Ostojić pojasnio je kako bi se takvi skupovi mogli,održavati,True,"između osam i 22 sata , a morali bi se najaviti pet dana ili u iznimnim situacijama 48 sati prije održavanja skupa ."
,"Veoma dobra , i kvalitetnija od LP je EL koja će sa vremenom",dobivati,True,sve veći značaj pogotovo za osrednje klubove i klubove koji nisu iz Liga petica .
,""" Volim",dobivati,True,"plaću na stari način , od blagajnika naše kompanije ."
,"Ako je pak mačka neprekidno pokazuje , trebalo bi je",odvesti,True,kod veterinara .
,Poduzetnici sredstva neće,dobivati,True,"nakon odobrenja projekta , nego će ga morati prvo sami financirati , a novac će im biti isplaćen nakon izvršenja ."
,Setimes : Očekujete li da će Makedonija,dobiti,True,poziv na samitu u Bukureštu i kako će to utjecati na sigurnosnu situaciju u regiji ?
,"Dodao je , međutim , kako svaka mirovna misija EU-a treba",dobiti,True,"odobrenje UN-ovog Vijeća sigurnosti , u kojem Rusija ima moć veta ."
,""" Ako rezultati izbora 1. listopada pokažu da je mađarski narod odbio paket , premijer mora odstupiti i sa sobom",odnijeti,True,"paket reformi "" , izjavio je Orban na tiskovnoj konferenciji u utorak , a prenosi tiskovna agencija Bloomberg ."
,"U iduća tri tjedna kandidati će obilaziti Hrvatsku ,",održavati,True,skupove i pozivati birače na sudjelovanje na izborima .
,Za pet godina moći će,dobiti,True,hrvatsko državljanstvo .
,"Također će biti iznesena preporuka treba li Bugarska ući u EU 1. siječnja 2007. godine , ili treba",odgoditi,True,njezin prijam na godinu dana u skladu sa zaštitnom klauzulom .
,SETimes : Kako bi se međunarodna zajednica i Kosovo trebali,odnositi,True,prema tom najnovijem događaju ?
,"Kako će , po vašem mišljenju , EU i Kosovo odgovoriti na te pozive i kako bi se sve strane trebale",odnositi,True,prema budućem dijalogu ?
,Kažu da neki vlasnici i zaposlenici mogu iskoristiti određene rupe u zakonu dok drugi ne,dobivaju,False,gotovo ništa .
,Većina proizvodnih tvrtki više ne postoji ili se,koriste,False,"za skladištenje robe ; učinkovitost kao koncept , čini se , bile su samo riječi , a nezaposlenost se produbljuje ."
,"Prendergast je istaknuo kako je od tada došlo do pozitivnih trendova , uključujući "" srdačne kontakte "" koje su održavali političari ciparskih Grka i ciparskih Turaka u",pokušaju,False,unaprjeđenja uzajamnog razumijevanja .
,Iako sve strane,govore,False,"kako žele rješenje , nedostaju preduvjeti za postizanje dogovora , kazao je ."
,"Annan je ukazao kako se ,",imajući,False,"u vidu situaciju , kani kretati "" vrlo oprezno "" u potrazi za rješenjem ."
,""" Podignuli smo svoj glas",tražeći,False,"poboljšanje socijalne i gospodarske situacije romskih građana , njihova obrazovanja , zdravstva , infrastrukture , smještaja , zapošljavanja , što je postalo dio nacionalne strategije za poboljšanje uvjeta života za Rome "" , rekao je Veliu ."
,"U međuvremenu ,",govoreći,False,"na skupu Zajedno za budućnost , Rama je istaknuo kako je konačno napravljen ljevičarski savez -- sa Socijalističkom strankom i Socijaldemokratskom strankom u njegovu jezgru ."
,IDC je objavio i rezultate za cjelokupno svjetsko tržište gdje je HP i dalje,vodeći,False,"s udjelom od 17,7 % ."
,Feronikel je privatiziran prije pet godina,i,False,"još uvijek posluje , ali u ozračju zabrinutosti za sigurnost radnika ."
