,"Građanska inicijativa "" U ime obitelji "" tijekom prvog tjedna prikupljanja",potpisa,True,", unatoč pojedinačnim napadima na volontere , bilježi dobre rezultate ."
,Mirovna misija EULEX-a,potpisala,True,"je u petak ( 11. rujna ) protokol sa srbijanskim ministarstvom unutarnjih poslova , čime je utrt put suradnji u borbi protiv organiziranog kriminala i krijumčarenja ."
,"Autorica iz Quebeca , koja je imenom James Chartrand",potpisala,True,"nekoliko knjiga o slobodnom novinarstvu , mnoštvo čitanih članaka i popularan , nagrađivani on-line servis za freelancere ( znakovito nazvan » Men with pens « ) , odlučila je zadržati muško ime i nakon priznanja da njegovim vještim perom upravlja ženska ruka ."
,"Prema televiziji IN , UEFA je",potpisala,True,"ekskluzivan ugovor dajući IN-u prava prijenosa , koja su lokalni kablovski operateri narušili time što nisu kodirali emitiranje utakmica ."
,"Govoreći na poslovnom forumu , istaknuo je kako je Makedonija",potpisala,True,tri multilateralna sporazuma o slobodnoj trgovini i stvorila povoljne uvjete za inozemne ulagače u zonama tehnološko-industrijskog razvitka .
,Nacionalistička politika i nesuglasice između političara zemlje utjecali su na napredak glede Sporazuma o stabilizaciji i pridruživanju koji je,potpisala,True,s EU u lipnju 2008 .
,Bugarska je delegacija,potpisala,True,"još dva sporazuma : sporazum o neširenju oružja za masovno uništavanje i suradnji u obrani , kao i memorandum o uzajamnom razumijevanju između bugarskog ministarstva unutarnjih poslova i ministarstva energetike SAD-a po pitanju krijumčarenja nuklearnih i drugih radioaktivnih materijala ."
,"Pederu se u seksu ne žuri , diže mu se kad se njoj hoće , ne navaljuje i nikad ne kaže , daj mi pičke ,",potpisala,True,"si , kurvo ."
,"U ime Gradskog muzeja Vukovar , ugovor je",potpisala,True,"ravnateljica muzeja , prof. Ružica Marić ."
,Dvije zemlje,potpisale,True,"su sporazum o pristupu međunarodnim vodama 2001. godine , ali je on naišao na protivljenje hrvatske javnosti i nikada nije ratificiran u Saboru ."
,Nadam se kako su strane koje su,potpisale,True,"svibanjski sporazum , odnosno premijer Gruevski i vođa DUI-a Ali Ahmeti , toga u potpunosti svjesni ."
,Albanija i Rusija,potpisale,True,su u petak ( 26. kolovoza ) sporazum o suradnji na području borbe protiv krijumčara droge .
