"In this paper , we report upon the novel insights eye-tracking techniques have",provided,True,into the unconscious processes of viewing the unique collection of Zurbarán artworks .
"As an example , research shows that greater diversity within a community or group can lead to",improved,True,"critical thinking [ 1 ] and more creative solutions to complex tasks [ 2 , 3 ] by pairing together individuals with unique skillsets and perspectives that complement and often augment the abilities of their peers ."
"Here , we present a novel system ,",based,True,"on a topical web crawler , that can quickly and automatically assemble a full census of an academic field using digital data available on the public World Wide Web ."
"The system is capable of collecting census data for an entire academic field in just a few hours using off-the-shelf computing hardware , a vast improvement over the roughly 1600 hours",required,True,to do this task by hand [ 19 ] .
"Enjambment takes place when a syntactic unit is broken up across two lines of poetry ( Domínguez Caparrós , 2000 : 103 ) , giving rise to different stylistic effects ( e.g.",increased,True,"emphasis on elements of the broken-up phrase , or contrast between those elements ) , or creating double interpretations for the enjambed lines ( García-Paje , 1991 ) ."
"In Spanish poetry , the syntactic configurations under which enjambment takes place have been",described,True,"extensively , and detailed studies on the use of enjambment by individual authors exist ( see Martínez Cantón , 2011 for an overview ) including , among others Quilis ( 1964 ) , Domínguez Caparrós , ( 2000 ) , Paraíso , ( 2000 ) , Spang ( 1983 ) for a description of enjambment , and Alarcos ( 1966 ) , Senabre ( 1982 ) , Luján ( 2006 ) , Martínez Fernández ( 2010 ) for case-studies on a single author ."
"Given that need , we have developed software ,",based,True,"on Natural Language Processing , that automatically identifies enjambment in Spanish , and applied it to a corpus of approx. 3750 sonnets by ca. 1000 authors , from the 15th to the 19th century ."
"Then , our corpus and system are",described,True,", followed by an evaluation of the system ."
A yet more egregious example of such pollution,involved,True,collaborative efforts by pharmaceutical companies and the publishing giant Elsevier to produce publications mimicking peer-reviewed journals in the interest of promoting the companies’ companies ’ commercial products [ 23 ] .
"Whether due to this behavior or not , Jeffrey Beall",decided,True,to add the publisher to his influential ( but now sadly unavailable ) list of questionable journals [ 26 ] .
It collects the data,based,True,on the observation of the proposed interventions as well as interviews conducted with participating teachers and students to identify their perceptions of digital games’ games ’ contributions to the learning process .
A statistical analysis was performed,based,True,on the application of the paired t-test on the difference of the overall score obtained in the test before and after the intervention in the two groups .
"From this , we conclude that an intervention",based,True,on cognitive digital games offers contributions to the learning process and improvement of sustained attention .
"From a systematic comparison of 10 spoken languages from 5 continents we find evidence suggesting that a word like ‘ Huh ? ’ – used as a ‘ repair initiator ’ when , for example , one has not clearly",heard,True,"what someone just said [ 5 ] , [ 6 ] – is a universal word ."
Bantu languages are not,included,True,in studies of acquisition often enough despite the numerous languages in this linguistic grouping and the millions of people using them .
Follow-up studies with,increased,True,stimuli and participants are needed .
"however , in the study by Hein and colleagues it was found that children responded more or less frequently",based,True,on factors such as stimuli type .
"In the current study , the responses from two children were not",included,True,because they responded the same way to every item through the training and all test items .
"More specifically , they answered “ yes ” that the puppet",described,True,the pictures well .
"It is also possible though that these two children were attempting to please the data collectors , or be polite , and that “ yes ” was in some ways a default answer to be",provided,True,when having to respond verbally in a test context .
The cardinal numbers,included,True,"in this study were only one through five in order to avoid additional item variability , but larger numbers should be included in future research ."
"Unfortunately , most of the time , people in the residential end up choosing a lamp",based,True,on it is price rather than its efficiency and this cause us to pay for our lighting more than necessary .
Skin aging and skin cancer will be discussed as those reactions,produced,True,by prolonged or repeated UVR exposure [ 4 ] .
"In some fields , a flourishing metascience , that is , the scientific study of science ( see Munafò et al. , 2017 ) , has",included,True,"syntheses assessing the quantity and nature of replication efforts , for example , in education ( Makel & Plucker , 2014 and in psychology ( Makel et al. , 2012 ) ."
"However , a perceived lack of prestige , excitement , and originality of replication plagues L2 research ( Porte , 2012 ) , as it does other disciplines ( Berez-Kroeker et al. , 2017 ; Branco , Cohen , Vossen , Ide , & Calzolari , 2017 ; Chambers , 2017 ; Schmidt , 2009 ) , and these perceptions are thought to have",caused,True,", at least in part ( directly or indirectly ) , alleged low rates and a poor quality of published replication studies ."
The posterior displacement of the CoM,produced,True,"a more vertically oriented femur during standing ( femur in experimental animals was 40 % more vertical than control subjects ) , and increased femoral retraction and decreased knee flexion during walking ."
These postural and kinematics changes cannot can not be attributed to an,increased,True,weight as subjects of the control-weight group did not show the same changes as the experimental group .
To test if the postural differences observed in this study,produced,True,"changes in limb morphology , we measured the length and mid-shaft cross-sectional properties of the femur in all our individuals ."
"First , our experimental subjects",lived,True,in a large enclosure under conditions that allowed them to exercise all day long .
