"This data set has shed considerable light on dramatic inequalities in faculty training ,",placement,True,", and scholarly productivity [ 6 , 19 , 20 ] ."
"The system is capable of collecting census data for an entire academic field in just a few hours using off-the-shelf computing hardware , a vast",improvement,True,over the roughly 1600 hours required to do this task by hand [ 19 ] .
"Finally , applied to many academic fields in parallel , the system can elucidate scientists’ scientists ’",movement,True,between different disciplines and relate those labor flows to scientific advances .
"Whether due to this behavior or not , Jeffrey Beall decided to add the",publisher,True,to his influential ( but now sadly unavailable ) list of questionable journals [ 26 ] .
"Cognitive games involve a number of different games working aspects of human cognition , while proposing the intersection between the sets of concepts , fun and cognition , for the",improvement,True,of cognitive functions .
With respect to the contributions of digital games to,improvement,True,"of cognitive processes , researchers suggest that regular practice has a significant influence on improving the performance related to basic visual skills ( Li , Polat , Scalzo , & Bavelier , 2010 ) ; on the ability to perceive objects simultaneously ( Dye & Bavelier , 2010 ; Feng , Spence , & Pratt , 2007 ) ; and on the ability to do more than one task at the same time ( Boot , Kramer , Simons , Fabiani , & Gratton , 2008 ) ."
"Considering the importance of the proper functioning of attention , because of its",involvement,True,"in the regulation of thoughts and emotions , maintaining the performance of this process is very important , especially in school , where the child must acquire content in an environment full of countless distractors ."
"The games have features like increasing challenges , rules that establish what can and cannot can not be done , and",involvement,True,"of the player in the quest to gain skills and win the game ( Kirriemuir & McFarlane , 2004 ; Prensky , 2005 ) ."
"We aim to investigate the contributions of the use of a system that integrates cognitive digital games to a database , of the Escola do Cérebro , for monitoring and",improvement,True,"of cognitive skills , highlighting the attention ."
The application allows visualization of the player's,player,True,'s performance and offers the possibility of monitoring by teachers .
The result indicates significant,improvement,True,"in the performance of the sustained attention in the test , as well as a high dispersion , which reveals a variation in relation to the performance ."
"The teachers observed changes after the intervention , emphasizing the greater persistence and",involvement,True,"in school activities , and in some students , improvement in the ability to sustain attention ."
"From this , we conclude that an intervention based on cognitive digital games offers contributions to the learning process and",improvement,True,of sustained attention .
After,speaker,True,"G makes a statement , speaker E utters the interjection huh ? ."
repair is initiated not by the,speaker,True,"of the first turn but by the other participant ( “ other-initiated ” ) , and the repair initiator signals that there is a problem , but it leaves open what the problem is ( “ open ” ) [ 11 ] ."
These operators reproduce programming errors that are litely to occur during the,development,True,of this type of applications .
"As a previous step to designing the mutation operators , we analyzed the main technologies used specifically in the",development,True,"of GIS , and we identified typical errors a programmer can introduce during the development ."
"As future work , we intend to extend this approach to other domains , as well as to use the developed operators for the automatic",improvement,True,of sets of test cases .
The current study will contribute to the,development,True,of further qualitative and quantitative research that will more clearly define the information behaviors of the transmedia fan .
"Born in Tianjin with ancestry in Changzhou , Jiangsu province , Chao went to the United States with a Boxer Indemnity Scholarship in 1910 to study mathematics and physics at Cornell University , where he was a classmate and lifelong friend of Hu Shih , the",leader,True,of the New Culture Movement .
Career,development,True,and later life
"A commercial event , for instance , crucially involved elements such as a seller , a",buyer,True,", some good , and some money ."
"According to frame semantics , meaning is best studied in terms of the mental concepts and participants in the minds of the",speaker,True,and addressee .
"The plots were thin , there was little",development,True,"of character and they were loaded down by excessive sentiment , especially when compared to what she was writing concurrently in her diary ."
"In 2005 , Holt was named defensive",player,True,"of the year in District 6-4A , [ 3 ] and he earned all-district honors in 2006 , his senior year . [ 4 ]"
"On September 4 , against the Houston Astros , Holt became only the second Pirates",player,True,since 1900 to have a four-hit game within his first four career games in the majors .
The only other Pirates,player,True,"to have a four-hit game so early in his career was Jack Merson , who went 4-for-5 in his second major league game on September 15 , 1951 . [ 11 ]"
Unfortunately for the would-be,leader,True,", Pachomius recovered , and upon hearing of Theodorus’ Theodorus ’ decision , exiled the ambitious young man ."
Although it seems Theodorus practiced complete submission to the new,leader,True,"of the Koinonia , problems soon arose in several Pachomian monasteries that viewed Horsiesios as a weak leader ."
Refusing to work or communicate and demanding a new,leader,True,", many of the elder monks completely abandoned any notion of obedience to Horsiesios ."
"Soon after his arrival , Theodorus was the new de facto",leader,True,", though he claimed to be only acting on behalf of Horsiesios ."
"The viewing experience of art is a complex one ,",involving,False,"issues of perception , attention , memory , decision-making , affect , and emotion ."
This paper describes a collaborative pilot project,focusing,False,on a unique collection of 17th Century Zurbarán paintings .
We will discuss the potential implications of these techniques and our,understanding,False,of visual behaviours on museum and gallery practice .
"Importantly ,",studying,False,"eye movements offers an insight that does not depend on the participants’ participants ’ beliefs , memories or subjective impressions of the artwork ."
"Previous eye tracking research has highlighted the potential to transform the ways we understand visual processing in the arts ( see for example Brieber 2014 ; Binderman et al. , 2005 ) and at the same time offers a direct way of",studying,False,"several important factors of a museum visit ( Filippini Fantoni et al. , 2013 ; Heidenreich & Turano 2011 ; Milekic 2010 ) ."
This pilot project primarily investigated how participants visually explore artworks and provides new insights into the potential eye-tracking has to transform the ways we understand visual processing in arts and culture and at the same time offer a direct way of,studying,False,"several important factors of a museum visit , namely to assess the effects of label characteristics on visitor visual behaviour ."
How do people,look,False,at and experience art ?
Which elements of specific artworks do they,focus,False,on ?
Do museum labels have an impact on how people,look,False,at artworks ?
"While studies of the psychology of art have focused on individual works and distinctions between representative / non-representative topics , no",work,False,has been completed on the aesthetic appreciation of collections or of devotional themes .
The purpose of this pilot,study,False,was to assess the effects of different written interpretation on the visual exploration of artworks .
Previous eye tracking research has highlighted the potential to transform the ways we,understand,False,"visual processing in the arts ( see for example Brieber 2014 ; Binderman et al. , 2005 ) and at the same time offers a direct way of studying several important factors of a museum visit ( Filippini Fantoni et al. , 2013 ; Heidenreich & Turano 2011 ; Milekic 2010 ) ."
While studies of the psychology of art have,focused,False,"on individual works and distinctions between representative / non-representative topics , no work has been completed on the aesthetic appreciation of collections or of devotional themes ."
"When regarding an artwork , a viewer gathers information through a series fixations , interspersed by rapid movements of the eye",called,False,saccades .
