,Research on adult-learned second language ( L2 ) has,provided,True,considerable insight into the neurocognitive mechanisms underlying the learning and processing of L2 grammar [ 1 ] – [ 11 ] .
X,"Of interest here , studies suggest that , despite the difficulties in acquiring L2 grammar , adult learners can approximate native-like levels of use",and,True,neurocognitive processing [ 12 ] – [ 15 ] .
X,"Crucially , it is also desirable to retain them , even in the absence of",continued,True,practice or exposure to the L2 .
X,"In fact , substantial periods ( months to years ) of limited or no exposure following L2 training are not uncommon ,",and,True,may even be the norm [ 16 ] .
X,"Such a scenario may be found in different situations , including when one studies a language in a classroom",and,True,"then stops taking classes [ 17 ] , [ 18 ] and when one is immersed in a foreign language setting and then moves away [ 19 ] ."
X,"In the present study , we examine the outcomes of such a period of no exposure on the neurocognition of L2 grammar : that is , whether a substantial period of no exposure leads to decreased proficiency",and,True,"/ or less native-like neural processes ( “ use it or lose it ” [ 20 ] ) , no such changes , or perhaps whether even higher proficiency and / or more native-like processing may be observed ."
X,"Additionally , we test whether any such outcomes might vary as a function of the type of L2 training , in particular between classroom-like",and,True,immersion-like contexts .
,These language measures were compared in most studies to the same measures in a different set of subjects who had not,experienced,True,"a period of limited exposure [ 17 ] , [ 18 ] , [ 22 ] , [ 23 ] , or to retrospective ratings of the same subjects [ 21 ] , with only one longitudinal study testing the same subjects before and after a period of limited exposure [ 24 ] ."
X,"Across the studies , the periods of limited exposure followed either classroom training [ 17 ] , [ 18 ] , [ 22 ] , [ 24 ] or mixed classroom",and,True,"immersion training [ 21 ] , [ 23 ] , [ 24 ] ."
X,"The training lasted varying lengths of time , apparently usually in the range of a few years ,",and,True,"resulted in seemingly varying proficiency levels ( though not directly measured , except by [ 24 ] ) prior to the period of limited exposure ."
X,"Such loss has been observed after as little as a few months of limited exposure , e.g. , after a 1 - 7 month [ 23 ] or 6 month delay [ 21 ] , as well as after 2 years [ 18 ] , though in one case it was observed only by 3 - 5 years ,",and,True,not earlier [ 17 ] .
X,"Finally , in some cases a gain in performance has been observed : after 1.5 years of limited exposure in one study , particularly for L2 learners with immersion as well as classroom training [ 24 ] ,",and,True,"in another study after 2 years , though only for some abilities , such as listening and reading comprehension [ 18 ] ."
X,"It remains unclear what might explain such gains , which have been attributed to motivation",and,True,"to L2 experience during the period of ostensibly limited exposure [ 24 ] , or to factors related to general maturation , cognitive development , or continued academic training [ 18 ] ."
X,"In 2015 , an initiative was started to set up a Dutch speaking DH+Lib community in the Netherlands",and,True,"Belgium , based on the example of the American communal space of librarians , archivists , LIS graduate students , and information specialists to discuss topics ‘ Where the Digital Humanities and Libraries meet ’ ."
