x,"In fact , substantial periods ( months to years ) of limited or",no,True,"exposure following L2 training are not uncommon , and may even be the norm [ 16 ] ."
x,"In the present study , we examine the outcomes of such a period of",no,True,"exposure on the neurocognition of L2 grammar : that is , whether a substantial period of no exposure leads to decreased proficiency and / or less native-like neural processes ( “ use it or lose it ” [ 20 ] ) , no such changes , or perhaps whether even higher proficiency and / or more native-like processing may be observed ."
x,"The six studies tested L2 learners after periods of 1 month to 50 years of limited L2 exposure , mainly on general language skills [ 17 ] , [ 18 ] , [ 21 ] , [ 23 ] , [ 24 ] , though also on more specific paradigms",meant,True,"to target aspects of grammatical abilities [ 17 ] , [ 18 ] or lexical abilities [ 22 ] , [ 23 ] ."
x,"Although attrition may take place within the first few years , some studies suggest that it then appears to level off , with",no,True,"further losses occurring [ 17 ] , [ 18 ] ."
x,"Higher levels of proficiency ( or exposure ) may be associated with less attrition [ 17 ] , [ 18 ] , [ 21 ] , [ 23 ] or even with",no,True,observed losses [ 21 ] .
x,"Moreover , one study found",no,True,"changes at all in performance , across proficiency levels , after either 2 or 4 years of limited exposure [ 22 ] ."
x,"A year later , the National Library of the Netherlands ( Koninklijke Bibliotheek ) , and the University Library of the Vrije Universiteit Amsterdam again concluded that librarians",at,True,their institutes who wanted to get involved in DH needed more training to adequately support researchers and students in this field .
,"In essence , we",want,True,to teach our country’s country ’s librarians the ins and outs of DH in order for them to take up their natural role of facilitating and supporting research and ideally become the research partner needed in DH projects .
,"We are not setting out to turn them into programmers or data crunchers , but",want,True,"to boost their knowledge level to where they feel comfortable providing information about DH projects , follow the literature and research , follow online tutorials and hopefully take up the challenge of finishing this professional development by engaging with the DH community ."
x,"Identify possible subjects , based on experience , a comparison of existing teaching material related to DH ( e.g. The Programming Historian , the Digital Scholarship Training Programme",at,True,the British Library and Columbia University's University 's Developing Librarian project ) and the TaDiRAH taxonomy of research activities 
x,Our,plan,True,"is to organize a maximum of 6 clinics , each one full day ."
x,The poster,at,True,"DH2017 will present the curriculum , its position in the international context and offer the lessons learned from both the design process and the first clinics ."
x,Byron received his early formal education,at,True,"Aberdeen Grammar School , and in August 1799 entered the school of Dr. William Glennie , in Dulwich . [ 17 ]"
,"An undistinguished student and an unskilled cricketer , he did",represent,True,the school during the very first Eton v Harrow cricket match at Lord's Lord 's in 1805 . [ 19 ]
x,"Byron fell in love with Mary Chaworth , whom he",met,True,"while at school , [ 6 ] and she was the reason he refused to return to Harrow in September 1803 ."
x,"His mother wrote , "" He has",no,True,"indisposition that I know of but love , desperate love , the worst of all maladies in my opinion . In short , the boy is distractedly in love with Miss Chaworth . "" [ 6 ]"
x,Letters to Byron in the John Murray archive contain evidence of a previously unremarked if short-lived romantic relationship with a younger boy,at,True,"Harrow , John Thomas Claridge ."
x,"Sure some stronger impulse vibrates here , Which whispers friendship will be doubly dear To one , who thus for kindred hearts must roam , And seek abroad , the love denied",at,True,home .
x,"The following autumn , he went up to Trinity College , Cambridge , [ 24 ] where he",met,True,and formed a close friendship with the younger John Edleston .
x,"This statement , however , needs to be",read,True,in the context of hardening public attitudes toward homosexuality in England and the severe sanctions ( including public hanging ) against convicted or even suspected offenders . [ 26 ]
x,"The liaison , on the other hand , may well have been "" pure "" out of respect for Edleston's Edleston 's innocence , in contrast to the ( probably ) more sexually overt relations experienced",at,True,Harrow School . [ 27 ]
,Of,interest,False,"here , studies suggest that , despite the difficulties in acquiring L2 grammar , adult learners can approximate native-like levels of use and neurocognitive processing [ 12 ] – [ 15 ] ."
,"However , it is",not,False,enough to have attained such native-like levels .
,"Crucially , it is also desirable to retain them , even in the absence of continued",practice,False,or exposure to the L2 .
,"In fact , substantial periods ( months to years ) of limited or no exposure following L2 training are",not,False,"uncommon , and may even be the norm [ 16 ] ."
,Research on adult-learned second language ( L2 ) has,provided,False,considerable insight into the neurocognitive mechanisms underlying the learning and processing of L2 grammar [ 1 ] – [ 11 ] .
,"Of interest here , studies suggest that , despite the difficulties in acquiring L2 grammar , adult learners can approximate native-like levels of use",and,False,neurocognitive processing [ 12 ] – [ 15 ] .
