x,"However ,",it,True,is not enough to have attained such native-like levels .
x,"Crucially ,",it,True,"is also desirable to retain them , even in the absence of continued practice or exposure to the L2 ."
x,"In fact , substantial periods ( months to years ) of limited or no exposure following L2 training are",not,True,"uncommon , and may even be the norm [ 16 ] ."
x,"In the present study , we examine the outcomes of such a period of no exposure on the neurocognition of L2 grammar : that is , whether a substantial period of no exposure leads to decreased proficiency and / or less native-like neural processes ( “ use",it,True,"or lose it ” [ 20 ] ) , no such changes , or perhaps whether even higher proficiency and / or more native-like processing may be observed ."
x,( Note that we do,not,True,"consider case studies , purely observational data , or research on L2s acquired by children ; for a comprehensive review , see [ 16 ] ) ."
x,These language measures were compared in most studies to the same measures in a different set of subjects who had,not,True,"experienced a period of limited exposure [ 17 ] , [ 18 ] , [ 22 ] , [ 23 ] , or to retrospective ratings of the same subjects [ 21 ] , with only one longitudinal study testing the same subjects before and after a period of limited exposure [ 24 ] ."
x,"The training lasted varying lengths of time , apparently usually in the range of a few years , and resulted in seemingly varying proficiency levels ( though",not,True,"directly measured , except by [ 24 ] ) prior to the period of limited exposure ."
x,"Such loss has been observed after as little as a few months of limited exposure , e.g. , after a 1 - 7 month [ 23 ] or 6 month delay [ 21 ] , as well as after 2 years [ 18 ] , though in one case",it,True,"was observed only by 3 - 5 years , and not earlier [ 17 ] ."
x,"Although attrition may take place within the first few years , some studies suggest that",it,True,"then appears to level off , with no further losses occurring [ 17 ] , [ 18 ] ."
x,At the initial meeting,it,True,became apparent that most participants were there to learn more about digital humanities and were not ( yet ) in the situation where they were able to offer expertise on the subject .
x,We see this as the ideal opportunity to provide these educative sessions,not,True,"only to our own librarians , but also to the academic librarians of other Dutch research libraries ."
x,We are,not,True,"setting out to turn them into programmers or data crunchers , but want to boost their knowledge level to where they feel comfortable providing information about DH projects , follow the literature and research , follow online tutorials and hopefully take up the challenge of finishing this professional development by engaging with the DH community ."
x,Desk research about what being a DH librarian entails ( e.g. Hartsell-Gundy,et,True,"al. , 2015 ; Mulligan , 2016 ; also see the Zotero library of the LIBER Digital Humanities working group ) ;"
x,"With these in hand , we will design the curriculum of clinics , based on the method of ' constructive alignment ' ( Biggs",et,True,"al. , 2011 ) , to make sure that the intended learning objectives and the teaching / learning activities stay aligned ."
x,"Placed under the care of a Dr. Bailey , he was encouraged to exercise in moderation but",not,True,"restrain himself from "" violent "" bouts in an attempt to overcompensate for his deformed foot ."
x,His lack of moderation was,not,True,restricted to physical exercise .
x,"About his "" protégé "" he wrote , "" He has been my almost constant associate since October , 1805 , when I entered Trinity College . His voice first attracted my attention , his countenance fixed",it,True,", and his manners attached me to him for ever . """
x,In,it,True,", Norton observed :"
x,that the citizen has,not,True,that protection of person and property which he is entitled .
x,"WHEREAS ,",it,True,is necessary for the repose of our Empire that the said decree should be strictly complied with 
x,"Kendra , just let",it,True,go .
,Of,interest,False,"here , studies suggest that , despite the difficulties in acquiring L2 grammar , adult learners can approximate native-like levels of use and neurocognitive processing [ 12 ] – [ 15 ] ."
,"However , it is",not,False,enough to have attained such native-like levels .
,"Crucially , it is also desirable to retain them , even in the absence of continued",practice,False,or exposure to the L2 .
,"In fact , substantial periods ( months to years ) of limited or no exposure following L2 training are",not,False,"uncommon , and may even be the norm [ 16 ] ."
,Research on adult-learned second language ( L2 ) has,provided,False,considerable insight into the neurocognitive mechanisms underlying the learning and processing of L2 grammar [ 1 ] – [ 11 ] .
,"Of interest here , studies suggest that , despite the difficulties in acquiring L2 grammar , adult learners can approximate native-like levels of use",and,False,neurocognitive processing [ 12 ] – [ 15 ] .
,"Crucially , it is also desirable to retain them , even in the absence of",continued,False,practice or exposure to the L2 .
,"In fact , substantial periods ( months to years ) of limited or no exposure following L2 training are not uncommon ,",and,False,may even be the norm [ 16 ] .
,"Such a scenario may be found in different situations , including when one studies a language in a classroom and then",stops,False,"taking classes [ 17 ] , [ 18 ] and when one is immersed in a foreign language setting and then moves away [ 19 ] ."
,"In the present study , we examine the outcomes of such a period of no exposure on the neurocognition of L2 grammar : that is , whether a substantial period of no exposure",leads,False,"to decreased proficiency and / or less native-like neural processes ( “ use it or lose it ” [ 20 ] ) , no such changes , or perhaps whether even higher proficiency and / or more native-like processing may be observed ."
,"Additionally , we test whether any such outcomes might vary",as,False,"a function of the type of L2 training , in particular between classroom-like and immersion-like contexts ."
