 ," Ayë Ootee wodi ëñate pete weë Itota ",badä,True," inguingä ingante Mäadiya ingante mongacäimpa "
 ," Ïninque guiyantaidë ëñacä ate wäänä Wëñengä ingante weocoo wïni wïni caadinque cënënäni cenguincadedë ñö ",cedä,True," öñongantapa "
 ," Ïninque Tïmönöidi wa wipodë ongönäni ponte godongämë encedänimpa , ante ömö cedäni adinque wa wipo ente pönäni ate geye mëa wipodë eyede pönï ñönönäni ate wipo ",ëmä,True," guiice cetimpa "
 ," Ñöwoöne tömënäni näni ",ëñenguïöne,True," do batimpa "
 ," Tawadiya wëmönä ïñömö , Botö wënäni , ante gompodinque teceënëmë wëä pönö ö ënä baï botö adobaï , Botö w",ënä,True,"ni pöedäni , ante epogadö äñömote mïnitö , Wïï pöïnente awedö , ante Baa ämïni wetabopa "
 ," Ayë bitö beyë në apënedönäni ïñömö bitö ïmite në cedönäni ïñönänite tömënäni ïnänite bitö , Mïnitö cedï beyë paga cebo encemïnimpa , ante bitö ",godonguïöne,True," dobe batimpa "
 ," ﻿ Mänïñedë ",guëmanguïöne,True," ïñonte Itota tömëmoncodë teceguedencodë gocantapa "
 ," Ayë ",nämä,True," wee äninque , ‘ Mönitö adomönique docä Abadäö wodi pëïmöni inte möni quëwenguinque ïmönipa ,’ ante mïni tedewënö ante pönënämaï inguënë quëwëmïnii "
 ," Ayë , Mïni ",quëwenguïöne,True," impa , ante Codito nänö bei ongonte ëñedë botö mänïñedë mïnitö beyë pönö cegaboimpa "
 ," Atedoidi näni cabo ïñönäni adocanque Pänoedo ",wënä,True," ïnönä inte tömënä picengadedä ingadäimpa "
 ," Botö Waobo ëñagaïmo inte botö ",wewenguïöne,True," do bayonte ede botö ïmote në wëne wëne cedäni ïnänite në godö odömonguingä ïñömö do godongäï ataqueedäni "
 ," Ayë mïnitö mïni wodii ",wïnonguïöne,True," ante pönëninque ede Wengonguï ingante , Wïï ede cöönedepo bacëimpa , ante ayë , Guëmanguïöne ïñonte badämaï ingëimpa , ante äedäni "
