 ," Mänömaï tedecä beyë mönö ",badönö,True," ante wadäni nanguï ïnäni pïinte anguïnäni awedö "
 ," Ayë ömaaque ongönäni ïnänite apënedinque tömengä , Wengonguï Awënë nempo quëwëninque ebänö cequïï , ante ëñencemïnimpa , ante botö ïmeca quëwënäni näni ",cedönö,True," ante odömonte apënebo ëñëedäni "
 ," Incete tömengä nänö waa ",cequënënonque,True," ante cecä adinque mïnitö , Mänïnonque ede cecëimpa , ante nanguï cequënëmïni ïmïnipa "
 ," Ayë në aacä tömengä cënïnäni ïnänite apente adinque bodegoidi ëmënö cönöninque cabodaidi ëmënö nänö ",cönönö,True," baï cedinque botö ïñömö ede ïmeca quëwënäni tömänäni ïnänite apente adinque pancadäniya ïnänite ëmënö gönöninque wadäni ïnänite ëmënö gönömo ongoncedänimpa "
 ," Æi ongöñongä wëne awënë ïñömö awënë odeye ömecoo inguipoga tömäo ongöñömecoo adoyömö a ongonte baï ado tedë odömöninque awënë odeyeidi waa pönï näni ",ëmönö,True," adobaï odömongä acantapa "
 ," Wengonguï pönö apënecä ëñëninque waodäni tömënäni näni ",ëñënonque,True," ante Wengonguï beyë yewëmongadänimpa "
 ," Adocä babe tededinque tömengä babe nänö ",entawënonque,True," ante tedewengä ingampa "
 ," Ede bitö tömënäni ïnänite wente ëmi ïninque tömënäni weetë bitö ïmite wente ëmaïnänipa , ante wee cedinque bitö ïñömö , Botö ",godönö,True," weetë eyepë pönönäni mäninque ëninque öönedë weetë ënämaï ïmaïmopa , ante wedinque ede tömënäni ïnänite wente ënämaï ïe "
 ," — Mïnatö ",ïnönö,True," gote , Patowa ëëmëno impa , ante ënömïna ate mönö cengëimpa "
 ," Në mënönäni ïñömö oodo ëninque padata ëninque dica näni waa pönï adinca ëninque , Quincamë ëwënämaï inguinca , ante ëninque tömënäni näni ",mënönö,True," baï cedinque pancamöniya nö pönï odömonte apënemöni ate mönitö apënedö wido cedämaï ingëimpa "
 ," Wïï mönö ïmonte në odömönäni näni ",odömönö,True," baï tömengä ïñömö në angä inte baï ede godömenque nöingä ante odömongä ëñëmompa , ante tedegadänimpa "
 ," Ïninque , Woboyë mëa go mëa ïñonte mönö a ",ongönö,True," ïnö inguipoga go pëmënämaï , ante cedinque cedänitapa "
 ," Mänömaïnö ante apënedinque Caiapato mä nänö ",pönënonque,True," ante wïï angacäimpa "
 ," Wïï Wengonguï nänö änönö ante pönëmi inte bitö waodänique näni ",pönëwënonque,True," ante pönëninque mänömaïnö ante tedebi awedö , angantapa "
 ," Ayë adobaï , Wengonguï Önöwoca mönö ïmonte nänö ",pönönö,True," baï mönö eyepë ëwocadinque cecëimpa , ante nanguï ëïnente weedäni "
 ," Wïï wadäni baï , Wengonguï ingante ebänö ingaingä ingää , ante ëñënämaï ïnäni baï onquiyenque ante näni ",towënonque,True," ante pönënämaï quëwencemïnimpa "
 ," Ayë wayömö näni guëadö guëa cete ",wënönö,True," ante tededäni incete ede guïñente wedämaï ïedäni "
 ," Ede baonque ante mïni toïnente ",wewënonque,True," ante do cedinque mïnitö tömënäni näni ceï baï cedinque ede tï nämë bete quidi quidi dowëninque beowëo inte cëowëo inte Ye ye angamïnimpa "
 ," Wengonguï nänö wë ",wodönö,True," ince tömengä nänö nö ëñënö ince tömengä nänö nö odömönö ince ante botö mïnitö weca pöninque odömonte apënebo ëñëninque mïnitö godömenque pönëmaïmïnipa "
 ," Ïninque , Ïï cadota möni ",yewëmönö,True," näwangä impa , ante adodö ante apënecedaimpa , ante cedinque mönitö Codaa tönö Tidato ïnate da godömöni godinque mïnitö weca pöna aedäni "
