x, Ede ,awë,True, yecete ante awenca näni më yequinca eyewa pönï nëënäni baï Wengonguï nänö panguinca nëente baï do ede a ongongampa 
x," Mïnitö wëne wëne cedïnö ante , Ancaa wewente ",awedö,True," , ante ñimpo ceedäni ,” ante Wäö apënecä ëñënänitapa "
 ," Mïnitö gomö adinque tömënäni tönö godongämë godämaï ïmïni adinque tömënäni weetë , Quïmë awincaque gomö ",awëmïnii,True," , ante ede pïinte änewënänipa "
 , Ante apënedäni ëñente wedinque Edode weetë në nö ëñënäni ïnänite ,awëmö,True," äñete pönäni ate , Nëmö eyedënö mä pönï tamö amïnitawo "
 , Tömengä ede awinca guiyä më owo ëmongä baï entawente weyongante bitö weetë ,awempa,True, wee ëmongä baï wee entawëmi inte edö cete ate baï tömengä ingante apente ämii 
 , Wacä godömenque engä ate wedinque pïinte ,awënänipa,True, 
x, Ate ede ,awencabo,True," weiyongante ede adocä tao ayongä wadäni önonque a ongönäni adinque tömengä tömënäni ïnänite , ‘ Quïnante tömää itedë ede cedämaï a ongömïni "
x, Tömënäni ömaa ïñömö ince gäwapentibe ïñömö ince adobaï tömäo ,awencoo,True," peyömö ince woboyë pëmënämaï ingëimpa , ante cedänitapa "
 , Edepante baga inte näni badönincoo tönö ,awenque,True, näni nanguï godonte ënïwë inte näni badönincoo më ongoncoopa 
 ," Wadäni guiquënë ëme pönente beyë , Tömää baö baacä impa , ante ",awente,True, baï cedinque quingämenque baö ince cënämaï inte onguipoiya pecooque ede cënänipa 
