x, Ayë Ootee wodi ëñate pete weë Itota ,badä,True, inguingä ingante Mäadiya ingante mongacäimpa 
x, Ïninque mïnitö cati baï yepë ëmonte baï ïnömïni inte weetë ede nongëmonte baï ,badämaï,True, ïedäni 
x, Pïinte ,badäni,True, adinque Itota tömënäni ïnänite angantapa 
x," Wëënë ïñömö , Itota nanguï ïnäni ïnänite gampocä waa ",badänipa,True," , ante në adïnäni inte tömënäni ñöwo , Mönö gampo cete waa bacëimpa , ante cedinque goto gongënäni wedinque mänömaïnö ante änongäimpa "
x, Ayë waodäni wëne wëne inte näni wewënö ante ayë quïëmë beyë wence cete wedäni ince Itota tömënäni näni wedö ante pönö cecä ate tömänäni waa ,badänitapa,True, 
x, Wengonguï Codotedo pönö cecä beyenque tömëna inguipoga quëwënäni ïnänite adinque mënaa go mënaa ïñönänite adocanque ingante wënöninque ayë wadäni mënaa go mënaa ïñönänite adocanque ingante wënöninque nanguï ïnäni ïnänite në wënöna ,badatapa,True, 
x," Angä ëñëninque tömënäni , Önöwoca ",badï,True," ïïmaï , ante ancai guïñente wedinque , Ye änäni "
x, Æ ̈ mi ate bitö në ämi ,badïmi,True, inte inguipoga bitö wee änö ince öönedë dobe wee angaïnö inte ongongëimpa 
x, Wengonguï pönö badongä ate mïnitö wede pönëmïni ,badïmïni,True, inte mïni wede pönenganca mäningancaque pönëninque ïïmaïnö ante pönëedäni 
x, Wengonguï waadete pönö cecä ate botö në apënebo ,badïmo,True, inte ïïmaï ante apënebopa 
x, Ayë në waa ,badïnäni,True," ïnänite , Mïnitö , Botö ebodö ïmo , ante mäo apënedämaï ïedäni , ante wee angantapa "
x," Mänïñedë tömengä weocoo ïnï ante , Æcänö quinca nö ta adinque tömengä ",badincoo,True," encecäimpa , ante tömënäni wentodöninque adocooque adocooque ënänitapa "
x, Mänïñedë wacä wëne tönö quëwënongä inte babetamongä babetadecä ,badingä,True, ïñongante wadäni tömengä ingante ente mämönäni pongä adinque Itota godö cecä ate tömengä awinca adinque në tedecä bacantapa 
x, “ Baquecä ince yedëmadä ,badinque,True, Wëñengä onguïñengä ingante mancecäimpa 
," Ede tömënäni ïnänite äninque , Mönö guïñënongä yaëmenca guiiyömö weetë gämë cecate në mïingä quëwengä nänö ëmönö baï adobaï ",badöedäni,True," , angä ëñente badonte concedänitapa "
," Wengonguïidi ïnänipa , ante mönö ïmonte në töö ëmente ente goquïnäni ante bitö ",badömi,True, ëmönie 
, Incete dicabo tëïmö ï baï bitö nö änïnö ïñömö ede tëïne ï ïñonte botö mänïmoga tëï mënonte baï pönö ,badömo,True, ate mïnitö mïni pönencabo bacemïnimpa 
, Mönö ëmëwo picëmö ,badömö,True, ïñömö tömämö adobaïnö ante pönenguënëmö ïmompa 
 , Në badongä ïñömö yabeque badöninque cencadë ïnö ,badönämaï,True, ingantawogaa 
 ," Ïñempa oodo ëninque , Wengonguï oncö waëmö ëmonguinta , ante ente ",badönäni,True," beyenque oodo teiyë waëmö bapa , ante pönëmïniyaa "
 , Mänïñedë wadäni wa wa badinque wëne wëne inte wedäni ïñönänite Itota ïñömö Awënë Wengonguï nänö tëï pïñënö entawëninque nanguï cecä waa ,badönänimpa,True, 
 , “ Deëmetedio padatagë näni ,badoncabo,True," ince wacä ingante , Wïwa cebitapa , pïinte wedänitawo "
 ," Bitö , Æbänö mënonguïï , ante , Æbänö badonguïï , ante botö onquiyabo ïñömö bee tente odömömo adinque ",badoncebiimpa,True, 
 ," Incete Wengonguï ïñömö ede , Waomïni mïni cequënënö ante eyepë cecemïnimpa , ante ",badonceboimpa,True," , ante Wengonguï angacäimpa "
 ," “ Incete ede , Tömancoo do ingaï baï adobaï bacoocëimpa , ante Wengonguï ",badoncecäimpa,True," , ante teiyë waëmö ingaïnäni Wengonguï beyë doyedë apënegadänimpa "
 ," Mïnitö beyë ante botö , Mïni ponte quëwenguï onconcoo ante tömää edemö ",badoncete,True, ante mänïñömö goceboimpa 
 ," Ede , Itota ebänö ïñontobë päö nanguï pönï pönö ",badongä,True," , ante në adïnäni incete tömënäni mïmö ömedë ïnäni inte baï wïï pönente wegadänimpa "
