x, Ede në ö ënäni ,be,True, tate näni ö enguinque inguipogaque da wëmïni apa quëwëmïni 
x," Bitö baö cëmi beyë , biïnömë näni wedenque tï nämë ",bebi,True," beyë , quïëmë cebi beyë bitö tönïñacä oda cete wecantawo "
x, Botö Mempo Awënë Odeye ïñongä botö tömengä nempo quëwëninque mïnitö tönö godongämë mïïmë botö beganca mänïmë yowepë ñöwo ëmëwo ,bebo,True," tamëñedäni , ante Itota apënegacäimpa "
x, Yowepë ñöwo bedinque botö Wengonguï Awënë ïnömo inte Awënë Odeye botö baganca ede ñöwo ëmëwo ,bebopa,True, 
x, Tömengä ede wadäni näni cecabo ïñönänite näëmë pïïninque tei tei pangä ïninque ayë në tï nämë bete quidi quidi dowente badäni tönö godongämë cente ,becä,True, 
x, Mïnitö cëningä ïñömö wagada ince bodo ince gue ënente weyongante mïnitö guëmanguïöne ï incete cöwë ñï ceyente epë wedeca ente mäo gönömïni gongente ,becampa,True, 
x, Bitö Itota mïñë në gobi inte epë ,becebiimpa,True," , ante bitö guiyangä ingante pede godömi engä ïninque bitö godönï beyë eyepë encebiimpa ,” ante apënedinque Itota tömënäni ïnänite da godongä gogadänimpa "
x," Äninque Itota adodö wade gote weetë apënedinque , “ Botö Mempo , botö bedämaï ïñömote bitö ö ënämaï ïmi ïninque botö cöwë bitö ämaï ",beceboimpa,True, 
x," Mänïñömö pönäni ate wadäni , Nantate beyë ",bececäimpa,True," , ante cedinque yowepë biïnömë näni ämë tönö moncapë adoyömö wempo cedëninque pede pönö ceyönäni tömengä önonque yede bedinque ede Baa angantapa "
x, Mönö wëmëidi Abadäö wodi Iteca wodi Aacobo wodi öönedë Awënë Odeye ëëmë ponte waa beyönäni ede nenque tamönö gämënö quëwënäni tönö nenque guiidö gämënö quëwënäni ïñömö idegoidi ïnämaï ïnäni ince teiyënäni adoyömö pöninque mönö wëmëidi tönö godongämë ,becedänimpa,True, 
x," Ayë , Botö në Awënë Odeye bayömote mïnitö botö awempaa gäänë të contadinque godongämë ede cente ",becemïnimpa,True," , ämopa "
x, Ïninque ëëmë ,becete,True, ante awënë beyë në ëwënäni nanguï ïnäni pö të contate cëñönäni wadäni adobaï pö të contate cënäni 
x, Wëñënäni näni wedö baï Wäö ïñömö cenguï cënämaï tepë ,bedämaï,True," ponte quëwëñongante ñöwodäni guiquënë , Wëne tönö Wäö quëwengampa , ante pïïnänipa "
x," Ayë , “ Awënë odeye ïñömö ëñace pö ",bedäni,True, ïnänite ace guiiyongä ede adocanque monguïmëno bequï weocoo awënë odeye nänö pönönincoo ince wëñadämaï inte önoncooque ee mongengä 
x, ﻿ Mëönaa go adoöneque ïñonte Cänaa quëwëñömö Gadideabe ïñömö monguïmëno ante ,bedänipa,True, 
x, Angä ëñente cedinque në cedäni taadonque pö bee bee bee tëninque waa cedäni ince wïwa cedäni ince tömänäni ïnänite äñete ente mämönäni pö monguïmëno oncönë pö guiidinque eyede goto gongente ,bedänitapa,True, 
x, Mänömaï wëne wëne ceyömïni ede ñöwomïni beyenque tömää inguipoga wepë aa ,bedinque,True, näate baquïmïnidö anguënë 
x, Botö wengä monguïmëno pö ,beedäni,True," , ante mempocä angampa , ante ede botö beyë apëneedäni "
x, Tömengä wënäni tönö tömengä cëningäidi adobaï adopë ,begadänimpa,True, 
x, Ede tömengä engä beyenque mïnitö në quëwëmïni inte mïnitö önöwoca edemö picëmïni mïni pequinque ede tömengä nänö apënedö ante ede goömë waëmömë ,beïnente,True, baï ëñencete ante weedäni 
x," Bitö Codito nänö në ëmïñënömi ïmi ente bee , ante wacä mïnitö ïmïnite epë adotacaque pönongä ",bemïni,True," ïninque në pönöningä weetë tömengä nänö pönönïnö beyë eyepë encecäimpa , angacäimpa "
x, Æ ̈ me pönente baï wëneidi näni bepë ,bemö,True," adinque mönö Awënë pïinte badinque pämaingampa , ante ëñënïmö inte mönö edö cete wëneidi bepë bequïmöö "
x," Mönö pönencabo oweta ëninque Wengonguï ingante waa ate pönente apënedinque , Mönö Codito wepë tömämö beyë godonte impa , ante pönëninque mönö pönencabo ïñömö godongämë ",bemompa,True, 
x," Ïninque , Æbänö entawëmöö , ante mïnitö nämä näëmente cöwä adinque nöingä ante pönëninque päö cëninque mänïmë ",bequënëmïni,True, ïmïnipa 
x, Go guiidinque tömënäni quëwenguïwë quëwenguinca ,bequïnäni,True, ïnänipa 
x, Tömengä cenguï ante ñäwäique cëninque tömengä bequï ante guïñëmenque ade ,bete,True, quëwënongäimpa 
 , Waodäni biïnömë näni ämë bedinque dowente badinque godömenque pönënämaï cedinque tömënäni näni ëwente wewenguinque ,bewënänipa,True, 
 , Tömengä tï nämë në nanguï ,bewengä,True, ïnämaï incecäimpa 
x, Æ ̈ ëmëno ,beyedë,True," ïinque bayonte tömengä ingante në cecä ingante äninque , “ Ïïöne ëëmëno ïinque cetimpa "
x, Mönö wëmëidi Abadäö wodi Iteca wodi Aacobo wodi öönedë Awënë Odeye ëëmë ponte waa ,beyönäni,True, ede nenque tamönö gämënö quëwënäni tönö nenque guiidö gämënö quëwënäni ïñömö idegoidi ïnämaï ïnäni ince teiyënäni adoyömö pöninque mönö wëmëidi tönö godongämë becedänimpa 
