x," Mänïñedë ede Wäö ïñömö tee mönete ongöñongante wadäni tömengä weca pöninque , Mönö Codito ïïmaï cecampa , ante tededäni ëñente wedinque Wäö weetë tömengä mïñë goda ïnate Itota weca da godongä ",goda,True,tapa 
x, Mïnitö awënë Edode weca ocë ëmente ,godämaï,True," ïedäni , angä ëñëninque tömënäni weetë yaatenque godinque tömënäni öme wade gogadänimpa "
x, Mänïï Babidöniabe ö ente ,godäni,True, ate ayë weë Eecöniya wodi wengä Tadatiedo ëñagacäimpa 
x," Edode guiquënë , Nëmö në nö ëñënäni botö änïnö ante ëñënämaï inte de ",godänipa,True," , ante adinque ede enguï bacantapa "
x, Mänïï tao gocete ante wipodë guiiyongä tömengä mïñë në godäni godongämë guiidinque tömengä tönö tao ,godänitapa,True, 
x, Angä ëñëninque tömëna dicamöñë do ëmö cete godinque Itota mïñë ede tee empo wade ,godatapa,True, 
x," Adinque , Itota mänömaï cecampa , ante Tidiabe tömäme ",gode,True, änäni ëñëninque waodäni pöninque në wëne wëne inte wewënäni ïnänite tömengä weca ente pönänitapa 
x, Tömengä ïñömö guidömëmë weente ömengö tei ebe ,godente,True, ëmëwo wengantapa 
x, Ïninque mïmöno tao ,godï,True, beyenque waocä wentamö ëwocacampa 
x," Adinque Itota weetë , — Botö mïñë në ",godïmi,True, ëñëmi 
x, Mïnitö adobaï wëënëñedë botö mä ceyedë do botö mïñë ,godïmïni,True," ïmïni inte ede , Botö ebänö ceboo , ante apënequënëmïni ïmïnipa ,” ante Itota tömengä nänö në ëmïñënäni ïnänite apënegacäimpa "
x, Ayë botö tömengä mïñë në ,godïmo,True," ïñömö tömengä nänö në waadebo ïnömo inte tömënä weca ongömo adinque Itota tömengä wäänä ïnante , — Badä ëñëmï "
x," Ayë Pegodo tönö Wäö önönaque ïna inte nanguï adämaï ïna incete ede guïñënämaï edonque apënedapa , ante adinque tömënäni , Æbänö cete ede do ëñënatawoo , ante wedinque , Itota mïñë në ",godïna,True, inte do ëñënapa 
x, Ayë Wäö wodi tömengä mïñë në ,godïnäni,True," pöninque tömengä baö ïnï ente mäo daga wëninque weetë Itota weca pöninque , Wäö wodi mänömaï wengä wemönipa , ante tömengä ingante apënegadänimpa "
x, Æcänö botö beyenque mänömaï cedinque tömengä nänö ëadï öme ëmö cete goda ïñömö tömengä nänö ëmö cete ,godincoo,True, baï adopocoo encecäimpa 
x, Godinque në pangoce ,godingä,True, ingante ëadente acä ïninque në ëacä waa tobaingampa 
x," Mïnitö awënë Edode weca ocë ëmente godämaï ïedäni , angä ëñëninque tömënäni weetë yaatenque ",godinque,True, tömënäni öme wade gogadänimpa 
 ," Mangä ëñacä adinque tömengä ëmöwo , Ëmänoedo , ante ",godö,True, pemoncedänimpa 
 , Wadäni ïnänite ee ,godöedäni,True, 
 ," Ayë në , Pönömi ëmoe , angä ingante ",godömi,True, engäe 
 , Mïnitö wadäni ïnänite tee mante ,godömïni,True, näni enganca weetë adoganca pönönäni encemïnimpa 
 , Mïnitö ïñömö në cëningäidi baï ïñömïnite botö ïñömö mëñe baï ïnäni weca da ,godömo,True, godinque mïnitö tente nämä wee cecete ante nänö ëñente cebaï adobaï ëñente ceedäni 
 ," Baö bataa iya tante godömö ince , Wengonguï quï , ante mönö ancaa ",godömö,True, ince Wengonguï ayongä wedenque waa cete impa 
 , Cenguï nëëmönipa diyë ,godömöni,True, cenguïnänii 
 , Ömepodäni ïnänite botö mäincoo tömää nënempote ,godömopa,True," , ante tomïnitawo "
 , Äninque ede wëñengä beyë cenguï angä ,godöna,True, cengantapa 
 , Ede ,godönämaï,True, ïnäni baï mïnitö adobaï Wengonguï nänö teiyë waëmö apënedö ante në Baa änäni ïnänite apënedämaï ïedäni 
 ," Ïninque , Wengonguï quï , ante në ",godönäni,True, ñënënäni tönö Wengonguï nänö wee angaïnö ante në odömönäni tönö tömänäni ïnänite Edode äñecä godongämë pönänitapa 
 , Mäincoo tönö öme näni ëadincoo ince godonte ë godonte ë cedinque wadäni në ömaadäni inte wedäni ïnänite pance pance ,godönänimpa,True, 
 ," Tömënäni mïnitö odömöincönë go guiite ongöninque ayë taadö gote cegöninque , Botö waa pönï cebo aedäni , ante yede änäni ëñente godongämë pönäni ate tömënäni tömänäni ayönäni ",godönänipa,True, 
 ," Wengonguï quïnäni ince Eedotadëë quëwënäni pancadäniya ömepodäni inte wedänipa , ante pönente wedinque wabeca Mäatedöniabe quëwënäni tönö Acayabe quëwënäni tönö , Mönö da godö da godö cecëimpa , ante pönëninque watapë todinque tömënäni , Wengonguï quïnäni quï , ante do ",godönänitapa,True, 
 , De ä wedinque quëwëñönate Tacadiya wodi tönö godongämë näni ,godoncabo,True," näni godöñedë ba ïninque tömengä ïñömö , Wengonguï quï , ante godongantapa "
 , Doyedë ïñömö në odömonte ,godonce,True, cecä Codaa ïñömö tömengä mïñë ponce cedäni ïnänite ïïmaï ante wëënëñedë apënedingä ïnongäimpa 
 ," Ayë adobaï , Bitö tömënäni wëne wëne näni cedö beyë nämä wepë ",godoncebiimpa,True," , ante cedinque Wengonguï Itota ingante da pönongä pöninque tömengä mönö ëñamö baï adobaï ëñadinque waomö mönö ïnömö baï adobaï badinque Waocä ïnongä ingacäimpa "
 ," Incete godongämë becönäni ëñëñönänite , Wengonguï ayongä cöwë ",godonceboimpa,True," , ante në äningä inte në wënongä ingante tömengä , Baquecä nänö änïnö baï ceedäni , änongäimpa "
 ," ﻿ Ïincayë ate në Ponguingä ïñömö , Wengonguï quï , ante nämä wepë eyepë ",godoncecäimpa,True," , ante odömoncete ante cedinque Wengonguï , Ïïmaï cete cëningä wepë pönöedäni , ante do wee angacäimpa "
 ," Ayë mïni cabo ince näëmë pïïninque pancadäniya , Nänö wenguinque , ante wacä ingante näëmë ",godoncedänimpa,True, 
 ," Mänömaï äninque botö , Wadäni pönömenque godöninque guëmäñönäni mïnitö weetë mïni eyepote wequinque godömenque nanguï ",godoncemïnimpa,True," , ante dice ämogaa "
 ," Wengonguï quïnäni beyë impa , ante mönitö wadäni tönö godongämë ",godoncemönimpa,True," , ante tömënäni mönitö ïmönite nanguï äninque ancaa änänitapa "
 ," Ayë , “ Mänömaï beyë bitö , Wengonguï quï , ante näni iya täïmoga ",godoncete,True," ante tece cedinque , Æ , botö tönïñacä ingante ede wëne wëne cebo pïingampa , ante pönëmi ïninque ,"
 , Ayë awënë në apente angä ingante pede ,godongä,True, ëninque tömengä bitö ïmite weetë wee wänongä ingante angä ëñëninque tömengä weetë bitö ïmite bei ongonte do tee mönebaingampa 
 , Ede Wengonguï tömengä nänö wee angaïnö ante apënecä ëñëninque Möitee wodi weetë adodö ante yewëmöninque waodäni ïnänite ,godongacäimpa,True, 
 , Në mänäni ,godongadänimpa,True, 
 ," Ïninque , Bitö mëmëidi näni ",godongaï,True," baï bitö adobaï godonte ëñëe , ante edö cete anguïï "
 ," Ede , Botö Itota nänö në da ",godongaïmo,True, ïmopa 
 ," Oodeoidi ëëmë näni ceyedë gobedönadodo ïñömö , Në tee mönete ongönäni ïnänite adinque mïnitö ecänö ingante ämïni ñimpo cebo goquingää , ante äñongä änäni ëñëninque tömengä tömënäni näni äningä adocanque ingante ñimpo cecä ",godongäimpa,True, 
 , Mänömaïnö ante Itota nänö në da ,godongaïnäni,True," ïnänite në gote apënedäni ïñömö Mäadiya Mäagadadënä näni änongä tönö Wäönä , Tantiago wäänä Mäadiya ayë wadäni onquiyënänique tönö godinque tömënäni ïnänite apënedäni ëñënönänimpa "
 , Æcämenque botö në da ,godongaingä,True, ingante ëna tömengä ïñömö ede botö ïmote adobaï engä ingampa 
 , Ede tömengä pönö badongä ate mönö teiyë waëmö ëwocate quëwëmö bayömonte tömengä adoque pönï nänö ,godongaïnö,True," beyenque , Ædemö picëmïni bacemïnimpa , ante do badongacäimpa "
 , Ïñempa eyepë ,godongampa,True, diyë önöwoca weetë ëmaingää 
 , Tömënäni beyë mönö godonte ëinta pede godöninque adocanque eyepë inte nänö godonganca wacä eyepë inte nänö ,godonganca,True," godongëimpa , ante godongämë Ao änänitapa "
 ," Ïninque Itota mïñë näni , Dote , ante gocabo ïñönänite tömengä , “ Mïnitö idegoidi ïnämaï ïnäni taadö godämaï inte ede Tämadiaidi näni quëwëñömö go guiidämaï ïedäni , ante da ",godongantapa,True, 
 ," Mänömaï quëwëñömïnite Codito weetë , Mïnitö abe tawente baï quëwencemïnimpa , ante cedinque ede , Quïnö ",godongantawo,True," , ante mïnitö do ëñëmïnipa "
 ," Änäni ëñëninque Itota ïñömö ede , — Awënë Tetedo quï ï ïninque ede Tetedo ingante ",godongëimpa,True, 
 , Ïñempa mänïnö öñabo ,godonguënëmïni,True, inte mïnitö godömenque waadete pönëninque nö cequënëmïni ïmïnipa 
 , Ede bitö ënï baï ayë ponte cedingä ingante adopo ,godonguënëmo,True, intabopa 
 ," Ante apëneyongä Itota weetë ede , — Mänömaï ï ïninque ede mönö Awënë Wengonguï nempo në quëwënömö inte wïï ",godonguënëmö,True, ïmompa 
 ," Mänïöne ïñonte oodeoidi cöwë cëningä codotedo ingante wënöninque , Wengonguï quï , ante ",godonguënënäni,True, ïnönänimpa 
 ," ﻿ Ñöwo ïñömö mïnitö godonte ëinta ante , Wengonguï quïnäni beyë impa , ante mïni ",godonguënënö,True, ante apënebo ëñëedäni 
 , Weetë Awënë Wengonguï quï ï ïninque Wengonguï ingante ,godonguï,True, ï apa änewëmïnii 
 ," Ïñempa botö , Mönö në tee mönete ongongä wëne wëne nänö cedïnö ante yewëmönämaï inte mönö edö cete da ",godonguïï,True," , ante awedö , ante Peto apënegacäimpa "
 ," Ede botö ëadincoo ince , Æcänö ingante ",godonguïmo,True," , ante pönente wedinque edö cete tömëmo ince änämaï inguïmoo "
 ," Ïninque wadäni wee änämaï ïñönäni mïnitö , Botö epotadö ",godonguïmoo,True," , ante pönëninque tömämïni wedämaï inte mïni änimpota adopota godöninque do godonguënëmïni ïmïnipa "
 ," Mönitö guiquënë , Mäatedöniabe quëwënäni tömënäni näni godonte ëintaque ",godonguïnäni,True," ïnänipa , ante ede pönentamönipa "
 , Ayë Itota ingante odömonte në ,godonguingä,True, Codaa Icadiote mönö änongä ingacäimpa 
 , Godömenque nanguï mangampa diyë nanguï ,godonguingää,True, 
 ," Ayë , Mänïnö mïni ",godonguïnö,True," ante ebänö cequënëmïni ïmïnii , ante botö nämä pönëninque ïïmaï ämopa "
 ," Në pönënäni tömänäni adoyömö pö pö cedinque tömënäni näni mänincoo ince , Tömämö quï impa , ante në pönëninque , Wacä ingä wacä ingä mönö godongämë ",godonguinque,True," mämompa , ante cedönänimpa "
 ," Ayë bitö beyë në apënedönäni ïñömö bitö ïmite në cedönäni ïñönänite tömënäni ïnänite bitö , Mïnitö cedï beyë paga cebo encemïnimpa , ante bitö ",godonguïöne,True, dobe batimpa 
 , Mänömaï cebi adinque bitö Mempo në wëmö ïñömö në acä ïnongä inte awëmö bitö ,godönï,True," ante weetë eyepë pönongä encebiimpa ,” ante Itota angacäimpa "
 , Ïninque botö ïñömö mänincoo tömënäni näni da ,godönincoo,True, idegoidi weca ente goceboimpa 
 ," Ayë , Itota ingante wënongëimpa , änäni ëñente wedinque Codaa tömengä ingante në ",godöningä,True," guiquënë , Æ tömengä nänö wenguinquemë ceboïnö ante pönëmogaa , ante guingo imonte wecantapa "
 ," Ayë wacä , Bitö ïmite në apente angä weca ente godinque botö bitö weocoo enceboimpa , ante ceyongä bitö mänincooque tömengä ingante pede ",godöninque,True, wacoo bitö yabe mongencoo tönö ee abi ö encecäimpa 
 ," Ede bitö tömënäni ïnänite wente ëmi ïninque tömënäni weetë bitö ïmite wente ëmaïnänipa , ante wee cedinque bitö ïñömö , Botö ",godönö,True," weetë eyepë pönönäni mäninque ëninque öönedë weetë ënämaï ïmaïmopa , ante wedinque ede tömënäni ïnänite wente ënämaï ïe "
 ," Do ïñömö , Wengonguï quï , ante në godönäni ñënënäni tönö në wee odömönäni tönö në aadäni näni Picencabo tönö wadäni ïnänite , Codaa mïñë goedäni , ante da ",godönönänimpa,True, 
 ," Ayë , Wengonguï quï , ante baö pede ",godontabopa,True, 
 , Tee mönecä ïninque ede bitö godonte ëinta tömanta pönï pede ,godonte,True," tabaïmipa , ante ämo ëñëmaïmipa ,” ante Itota apënegacäimpa "
