x," Codito ñöwo Mempo Wengonguï tömëmengä ïnö ei të contate ongongampa , ante pönëninque ede mïnitö , Æ ̈ ",monga,True," pönï në quëwengä tömengä nänö entawënö baï adobaï entawengëimpa , ante ëïnente wedinque quëwëedäni "
, Ayë ïmeca adobaï pönö cebo ate wepë gonga tëëmä nanguï ,mongë,True, adinque ëñencemïnimpa 
 ," Ñöwo ïñömö , Botö apënebo në ëñënïnäni inte tömënäni näni wentamö ",mongëmämo,True, do mongënänipa 
 ," Weetë mïnitö , Mönitö waa amönipa , ante në änömïni inte mïni wentamö mongencoo ee ",mongëmïni,True," inguïmïnidö anguënë , ante apënegacäimpa "
 ," Ayë tömënäni ïnänite , — Wengonguï weca mïni goquënënö ante apënebo ëñëninque mïnitö pönö wee äninque tömëmïni wenguinque wentamö ",mongëmïnipa,True, 
 ," Mïnitö , Waëmö pönï baceboimpa , ante cedinque ocaguï waa pönï wao wincate oodo mongente wamoncoo mongente weocoo waëmoncoo wëñate ",mongëmïnitawo,True, 
 ," Ayë onquiyëmïni ïñömö waëmö weocoo mongëmïni incete mïnitö , Botö waëmö weocoo ",mongëmo,True," adinque wadäni botö ïmote waa acedänimpa , ante änämaï inte nämä baö ante guïñëñate pönëninque weocoo edemö wëñate mongencemïnimpa "
 ," Pöninque Wengonguï Teiyë Waëmö Önöwoca cecä beyenque inguipogaque quëwënäni , Mönö wëne wëne cedömö inte wentamö ",mongëmö,True," awedö , ante wecedänimpa "
 , Tömengä nänö wengaïnö baï mönitö adobaï weetë weetë wente baï baö ,mongëmönipa,True, 
 ," Önontatoque ï awedö , ante adinque guïñente weyönäni edënïna baï ïna ïñömö weocoo näämenta pönï näinte baï ëmoncoo ",mongëna,True, inte ede ïñontobë tömëna weca a ongöna 
 , Ïninque mïnitö ïñömö Wengonguï nänö angaïnö ante ëñëmïni inte baï ïïnäni wentamö ,mongënämaï,True," ïñönänite , Mïni pante wequinque mänömaï cemïnipa , ante apente pïïnämaï incedömïnimpa "
 , Ïñempa weocoo waëmoncoo në ,mongënäni,True, ïñömö nämanque ante pönente näni ente mäincoo beyë ante në towënäni inte tömënäni ïñömö awënë oncönë quëwënäni apa quëwënänii 
 ," Ayë , Bitö Wengonguï ingante nanguï apënebi ïmipa , ante pönencedänimpa , ante cedinque tömënäni weocoo ñä cewate ñä cewate doyë guënë ëwa badöninque doyë pönï wëñate ",mongënänipa,True, 
 , Tömënäni tecetawë ïnö tëïneta inte badöinta baï wee ,mongënänitapa,True, 
 , Mïni wëne wëne cepämo ,mongenceboimpa,True," , ante tömengä nämä wepë pede godonte baï cedinque pönö engä beyenque mönö weetë quëwëmompa "
 , Weetë Wengonguï Teiyë Waëmö Önöwoca ingante waocä godö babe ante wëne wëne apënecä ïninque tömengä ëmëwo wentamö mongengä bagaingä ïninque cöwë wantepiyë wentamö ,mongencecäimpa,True, 
 , Në tëï ëmonte gänä cedäni ïñömö adobaï weocoo näämentacoo ,mongencedänimpa,True, 
 ," Ïninque , Mönö quëwenguïnämaï aquïïñö ëñamompa , ante adinque tömengä tëï pïñënongä inte , Botö baö baï tëïñö ",mongencemïnimpa,True," , ante badongä ëñaquïmö ïmompa "
 , Ayë weetë pöninque tömengä wïï mönö wëne wëne cedö ,mongencete,True, ante poncecäimpa 
