x, Ïinque bayedë ,möna,True," pante wequënënö ante pönëninque bitö ñöwo do pancete ante pömitawo , ante wedatapa "
 ," Mänïnäni , Wïï aïnëwedö , ante awinca ",möne,True," guimonte baï cedinque , Önömonca wïï ëñëïnëwedö , ante tee mömoncate baï cedinque , Mïmönë wïï pönëïnëwedö , ante mïmö ömedë ïnäni ïnänipa "
 , Ämo Ao ante tömënäni në änäni inte yewëmonte pede pönönäni ëninque botö Wengonguï Awënë quïnäni nanguï ïnäni ïnänite bei ongonte ëninque në tee ,mönebo,True, ingaboimpa 
 , Tee ,mönecä,True," ïninque ede bitö godonte ëinta tömanta pönï pede godonte tabaïmipa , ante ämo ëñëmaïmipa ,” ante Itota apënegacäimpa "
 ," Mänömaï ëninque Edode ïñömö , Oodeoidi Patowa ëëmë ïinque bedäni ate botö Pegodo ingante ente tadonte tömänäni ayönänite apente anceboimpa , ante pönëninque tömengä ingante tee ",mönecantapa,True, 
 , Ayë në godönäni ñënënäni Ao ante yewëmönäni ëninque tömengä ïñempa në angä badinque bitö ëmöwo ante në apënemöni ïñömönite bei ongonte tee ,mönecete,True, ante pongampa cebii 
 , Mänïñedë Wäö ingante ayë tee ,mönedämaï,True, ingadänimpa 
 , Bitö ïmite tee ,mönedäni,True, ïninque botö do bitö tönö go guiibaïmopa 
 ," Ayë quëwëñongä , Wäö ingante dobe tee ",mönedänipa,True," , ante tededäni ëñente wedinque , Itota weetë Gadideabe wade gogacäimpa "
 , Ïninque Itota nänö da godongaïnäni ïnänite yao ongonte ëninque tömänäni ayönäni tee ,mönedänitapa,True, 
 , Bitö ïñömö tömëmi oncönë guiite odemö tee ,mönedinque,True, mönö Mempo në awëmö quëwengä ingante apënee 
 , — Pabodo mönö në tee ,mönedongä,True, ïñömö botö ïmote aa pedinque ïïmaï angantapa 
 ," Ante pönente guïñente wedinque tontadoidi ïnänite angä weënäni ate , Pabodo ingante bei ongonte ö ëninque wee cete ïñömö ente mëi tee ",möneedäni,True," , angä ëñente tee mönedänitapa "
 ," Taodo guiquënë , Itota ingante në pönënäni ïnänite wido cecëimpa , ante nanguï wëne wëne cedinque wacönë pö guii wacönë pö guii cedinque onguïñënäni tönö onquiyënäni ïnänite bei ongonte wëä mäo tee ",mönegadänimpa,True, 
 , Ïninque quïnö odemö botö wi ënebo ince mänïnemö wacä edö cete tee ,mönequingää,True, 
 , Mänïñedë ede Wäö ïñömö tee ,mönete,True," ongöñongante wadäni tömengä weca pöninque , Mönö Codito ïïmaï cecampa , ante tededäni ëñente wedinque Wäö weetë tömengä mïñë goda ïnate Itota weca da godongä godatapa "
