x," Angä ëñente wedinque Pegodo guiquënë , — Mönitö ïñömö ede möni ëadincoo ",owë,True, caate bitö mïñë ömepomöni inte pömöni abipa 
x, Tömengä ede awinca guiyä më ,owo,True, ëmongä baï entawente weyongante bitö weetë awempa wee ëmongä baï wee entawëmi inte edö cete ate baï tömengä ingante apente ämii 
 ," Ante äñongä tömëna weetë , — Mäetodo , eyömönö ",owobi,True, 
 ," Ayë tömengä botö ïmote adobaï , Pöe , angä ëñëninque ede botö ñöwo tömengä oncönë ",owobopa,True, 
 ," Ayë ecänö , Wengonguï teiyë waëmö oncö beyenque ante näwangä baquïnö anguënë , äna tömengä Wengonguï oncö beyë ayë mänincönë në ",owocä,True, beyë adobaï dobe angampa 
 ," Ede , Itota ",owocampa,True," , ante do tededäni ëñëninque wacä wäänä , Botö wengä onquiyengä ïñömö wëne në wentamö ëwocacä ingante ënempocampa , ante wedinque Itota weca ponte ede weente apënecantapa "
 ," Tämadiaidi tömengä weca godinque , Bitö mönitö weca a ongöe , änäni ëñëninque tömengä mëönaa ïñonte tömënäni weca ",owocantapa,True, 
 ," Adinque Itota , Goto gongënäni wece we , ante pönëninque tömengä mïñë cöwë në godäni ïnänite , Wipo ente pömïni ate botö wipodë wäï wocente ",owoceboimpa,True," , angantapa "
 ," Ayë waca , Möni wengonguï Adempaö nëmö baï ",owocëimpa,True," , ante mïni badöninca nëente ëmonga cö ce cö ce cedömïnimpa töö "
 ," Goyömöni Tetadea ïñömö quëwënäni inte Itota ingante në tee empote quëwënäni pancadäniya mönitö tönö godongämë godinque , Näatöö oncönë ",owocemïnimpa,True," , ante mäninganca ente mämönäni pö guiitamönipa "
 , Ponte ayongä waocä önonganque bayongante wacä önöwoca tömengäa ,owodämaï,True," ingä adinque wëne weetë , Æ waocä botö owodincö baï ïnongä inte ñöwo önonconque baï wade ñëmente mäincoo cabo të gete baï ömewocacä ingä abopa "
 , Öönedë ,owodäni,True, ëñente cedäni baï inguipoga adobaï bitö änö ante ede ëñente cete bacëimpa 
 , Wadäni guiquënë Odömä ïñömö quëwëninque ëñace ante ponte ,owodänipa,True, 
 , Ante apënedäni ëñëninque Pegodo angä pö guiite tömengä weca ,owodänitapa,True, 
 , “ Nanguï pönï näni quëwëñömö ince wedenque ïnäni näni quëwëñömö ince mïnitö mänïñömö go guiidinque waocä në nö cecä ingante ante diqui minte adinque mäningä oncönë go guiite ,owodinque,True, wayömö mïni go quëwenganca mänincönenque quëwëedäni 
 , Ïñempa wadö tedete wadö cedömi inte bitö ede tömëmi awinca awë wee ongompa täno wido cete ate edonque adinque bitö tönïñacä awinca guiyä më ,owodö,True, ëmoncebiimpa 
 , Mänömaïnö ante pönëmïni inte mïnitö botö oncönë ponte ,owoedäni,True," , ämopa "
 ," Wadäni nëme wabeca quëwente baï quëwëninque tömënäni , Wïï mönitö öme ïñonte mönitö wamöni inte quëwëmönipa , ante inguipoga ",owogadänimpa,True, 
 , Ayë wamïni guiquënë Eedotadëë ïñömö ñöwo ponte ,owomïni,True, inte mïnitö oodeoidi tönö tömämïni ëamonca ongonte ëñëedäni 
 ," Ayë , Tömengä nänö waadete pönënö ïñömö ede yepanca pönï owopa , oopänö pönï owopa , eibe pönï owopa , wincamö pönï ",owopa,True," , ante ëñencedänimpa , ante apënebopa "
 , Në cedäni tönö wipodë ,owote,True," ceyömïnite mönatö bitö ïmite ëmö cete godinque Itota mïñë gomönapa , äninque adodaque wade gogadaimpa "
 , Angä ëñëninque nëmö në adïnäni ïñömö Bedëë taadö gote ëmö ayönäni ede ado nëmö tömënäni nenque tamönö quëwëninque näni adïmö ince wo go adinque ede të wocë goyönänite nëmö Wëñë ,owoyömö,True, oncömanca tecedeca ïnö në gongë adänitapa 
 , Tömengä nänö të contate ongöñömö nanguï ïnäni tömäo goto ponte ongönäni adinque tömengä weetë wipodë go guiite të contate wäï wocente ,owoyongä,True, tömënäni ayë gäwapë yewedecaque ömaaque ongönänitapa 
