 , Ayë tömengä ingante aa ,pemö,True, ëñëninque tömengä ïñömö ede tömämö ïmonte nanguï pönï pönö cecä ëmompa 
 ," Bitö dicamö baï ïnömi ïmipa , ante pönëninque botö bitö ëmöwo ante Pegodo pönö ",pemömo,True, ëmömipa 
 ," Botö weetë , Bitö tëïmö dicabo baï ïmipa , ante bitö ïmite mönö tededö , Quepata , pönö ",pemömopa,True, 
 , Mönö ocai encamö inte cenguï cëninque mönö baonga wepëmë tömäo gogadinque ,pemompa,True, 
 , Wengonguï anquedoidi guiquënë wïï adobaï ñënënäni ïñönänite Wengonguï tömënäni ïnänite adobaï ante ,pemönämaï,True, ingacäimpa 
 ," Ööingä waëme bacëimpa , ante quïmonte cëï wëä wëä ",pemönäni,True," baï cedinque mïnitö mïni caipë ince piyënë cete wacä ingä wacä ingä waa cete quëwëedäni ,” ante Itota odömonte apënecä ëñengadänimpa "
 ," Mäningä tömënäni awënë ïñömö tadömengadenguipo ïñömö quëwënäni ïnänite në aacä anquedo ïnongä inte tömengä ëmöwo ebedeo tededö , Abadoö , näni äwo ï ayë , Në Wo Ëwengä , ante ëmongä ïninque guidiego tededö , Apodïöö , ante ",pemönänipa,True, 
 ," Mänömaï wengä ëñëninque Eedotadëë quëwënäni tömänäni , ‘ Wepë onguipo ba awedö ,’ ante tömënäni näni tededö Atedäme ",pemönänitapa,True, 
 ," Ayë adoque Wengonguï itedë go ate wëñengä ingante ëmontaique ëö togence cedäni ïñömö godongämë pöninque tömengä wempo ëmöwo baï ante , Tacadiya , ante ",pemonce,True, cedänitapa 
 ," Bitö tömengä ëmöwo ante , Në Ængä ïnongä ingampa , ante Itota ",pemoncebiimpa,True," ,” ante anquedo Wengonguï nänö në da pönöningä ponte Ootee ingante angacäimpa "
 ," Mangä ëñacä adinque tömengä ëmöwo , Ëmänoedo , ante godö ",pemoncedänimpa,True, 
 , Tänocä Timönö ëmongä incete Itota wawo Pegodo ,pemongacäimpa,True, 
 ," Tömengä ïñömö , Wadäni wampo pönente quëwencedänimpa , ante në edemö apënedongä ïñongante wadäni tömengä ingante Bedënabee ante pönö ",pemongadänimpa,True, 
 ," ‘ Botö ëmöwo Amëë , ante ",pemongaïmo,True," inte botö cöwë , Näwangä impa , ante në cöwë edemö apënegaïmo ïmopa "
 ," Tömengä ïñömö Awënë bacecäimpa , ante cedinque Wengonguï oguinguipë gao cecä ate ede , Codito , ante nänö në ",pemongaingä,True, ingacäimpa 
 , Mänïnö ante äninque Itota onguipoga towe tänöninque wëä wëä gopodinque aquïmë bayonte ëninque babetamongä awinca öni öni ,pemongantapa,True, 
 , Ïingä Ootee Bedënabee näni ,pemöningä,True," ïñömö Tipidebe quëwente pöningä inte ede ,"
 ," Ayë Antioquiya ïñömö quëwënäni Codito ingante në tee empote quëwënäni ïnänitedö ante apënedinque , Coditoidi ïnänipa , ante mä ",pemöninque,True, apënedönänimpa 
 ," Tömënäni odömöincö ante , Möni në Abe Tawente Gocabo Odömöincö impa , ante ",pemönönänimpa,True, 
 ,"” Ante näni yewëmongaïnö baï cedinque tömengä ëmöwo , “ Wengonguï mönö weca quëwengampa ,” ante , Ëmänoedo , ante ",pemonte,True, ïnongäimpa 
