 , Æ ̈ me pönente baï wëneidi näni bepë bemö adinque mönö Awënë pïinte badinque ,pämaingampa,True," , ante ëñënïmö inte mönö edö cete wëneidi bepë bequïmöö "
x, Mänintacoo önompo ëmempoque go mentacoo ïñömö oodo inte näni badöintacoo inte Wengonguï në wantepiyë cöwë quëwengaingä ingä nänö enguï ,pämämo,True, eyede ënentapa 
x, Tömënäni tee tëwate baï oda cete weyönäni bitö godö ,pämi,True," wecedänimpa , ämopa "
x, Quïnante botö ïmote togente ,pämii,True, 
x, Ayë pancadäniya ïnänite mïnitö odömöincönë bei ongöninque tei tei ,pämïni,True," caate wedinque tömënäni wayömö quëwënäni weca wayömö quëwënäni weca wodii goyönäni mïnitö tee empo tee empo togente goquïmïni , ante awedö "
x," Ïninque botö , Idewaa ",pämïnipa,True," , ämopa "
x, Në ëñënämaï cedingä ingante mïnitö pancamïniya wodo tömämïni do ,pämïnitapa,True, 
x," Awënë Wengonguï bitö adobique Tömää Cegaïmi inte , Ïïmaï panceboimpa , ante bitö apente angaïnö baï cedinque tömënäni ïnänite päninque bitö cöwë nö cete waa ",pämipa,True, 
x," Mänömaï cedinque mönö wenguïmämo beyë wëmö ïñömö awedö , ante weyömonte tömengä ponte a ongongä adinque mönö nenque ",pämo,True, oo tote baï quëwëmompa 
x," Ayë , Tömengä wabänö oda cete tedecä ïninque mönö weetë ",pämö,True," webaingampa , ante wee wänonte baï cegadänimpa "
x," Ïninque mïnitö pönö ñimpo cedinque tömengä ingante , Idewaa ",pämöni,True," webipa , ante edemö waadete apënemïni ëñëninque tömengä ïinque wedinque wampo pönencecäimpa "
