 , Ïñempa Tatäna ince angä ëñente beyenque mönö oda cete wequinque ede godömenque ,pïïmaïmompa,True," , ante aquënë quëwëedäni "
 , Ede odë wengänä pïnä gäwa baö wänä ñente baï cedinque tömënäni ëñënämaï inte cedinque dadi ëmente tömëmïni baö wangö pocente baï ,pïïmaïnänipa,True," , ante mïnitö apënedämaï ñïne ceedäni ,” ante Itota apënegacäimpa "
x, Ïñempa tömengä nänö ,pïïmämo,True," ante adinque do wecedänimpa , ante cedinque ayë tömengä nänö tëï pïñëmämo ante edonque acedänimpa , ante cedinque Wengonguï mänömaï ee ongongä apa änewëë "
x, “ Mänïnäni Wengonguï biïnömë nänö ,pïïmë,True, becedänimpa 
x," Ayë , Wengonguï ingampa , ante näni badöinca ante në ",pïïmi,True, inte bitö ede tömënäni näni apëneincönë go guiidinque ede ö ëmitawoo 
x," Mänïnö nänö odömonte apënedïnö ante tece pïinte tedewënäni wedinque Itota tömënäni ïnänite , — Mïnitö botö änïnö ante oda cemïni inte ",pïïmïni,True," ïmïnitawo , angantapa "
x," Wëñënäni näni wedö baï Wäö epënë mönö në guidönongä ïñömö cenguï cënämaï yowepë biïnömë näni wedenque tï nämë bedämaï ponte quëwëñongante mïnitö guiquënë , Wëne tönö Wäö quëwengampa , ante ",pïïmïnipa,True, 
x," Cedinque , Mönö pönencabo wentamö mongënämaï ingëimpa , ante nanguï cedinque mïnitö në wëne wëne cedingä ingante ede do ",pïïmïnitapa,True, 
x," Ayë , Ñöwo weetë adodö ante tedewënänipa , ante ",pïïmïnitawo,True, 
x, Ede ,pïïmo,True," wewëmïni baï ecänö weetë , Tocebiimpa , ante botö ïmote waadete pönente apënequënengää "
x, Näni caipë ïñönäni ecänö tömengä tönïñacä ingante ,pïïna,True, ïñömö tömengä nänö apente pante wequinque cecampa 
x, “ Guëadö guëa ,pïïnämaï,True," ïedäni , ante në wee wee änäni ïñömö tömënäni näni watapë toquinque ede wee änänipa "
x," Botö oncö ëacä baï në Awënë ïmo ïñömote wadäni , Wëne awënë Beedeboobi ïmidö anguënë , ante ",pïïnäni,True," ince mïnitö botö tönö mïni quëwencabo ïñömïnite wadäni godömenque wëne wëne ante pïincedänimpa ,” ante Itota apënecä ëñengadänimpa "
x," Wëñënäni näni wedö baï Wäö ïñömö cenguï cënämaï tepë bedämaï ponte quëwëñongante ñöwodäni guiquënë , Wëne tönö Wäö quëwengampa , ante ",pïïnänipa,True, 
x," Mänömaïnö ante tededapa töö , ante ëñëninque wadäni diete ganca tömengä mïñë në godäni guiquënë ïñäna näna caya ïnate ede ",pïïnänitapa,True, 
x, “ Wadäni botö beyë ,pïïninque,True, mïnitö ïmïnite babe ante änänitawo 
x, Edode nempo wewëninque botö oodeoidi näni ,pïïnö,True," wequënëmo ïmo adinque Wengonguï angä ëñëninque tömengä anquedo ponte botö ïmote gä pe empote ö engä ate aamö cebopa , ante tece pönëmopa "
x, Ante ,pïïñönäni,True," në ëacä weetë adocanque ingante apënedinque , ‘ Ïñempa botö bitö ïmite wëne wëne cebogaa "
x, Ante ,pïïñönänite,True," Itota , — Mïnitö ïñempa docä Dabii wodi tönö godongämë godäni tönö gëwente wedäni ïninque tömengä ebänö cegacäï ante yewëmonte ongö incete mïnitö ïñömö adämaï inte baï änewëmïni awedö "
x, Ante në ñënengä ,pïïñongä,True," Pegodoidi weetë , — Mönitö guiquënë waomïni ïmïnite ëñënämaï inte Wengonguï ingante ëñente cequënëmöni ïmönipa "
x," Æcämenque ïñömö ede , Botö awënë ïnömoimpa , ante në angä inte tömengä ïñömö Tetedo ingante në ",pïïnongä,True, ingampa 
x, Ante ,pïïñongante,True," mönö Awënë weetë , — Mïnitö wadö tedete në wadö cedömïni inte ëñëedäni "
