x, Itota ïñömö në gongëninque äñecä ,pöna,True," adinque , — Mïnatö ïmïnate quïnö cebo ämïnaa "
x," Angä ëñente wedinque tömengä nänö në ëmïñënäni weetë näni caboque tededinque , — Päö ente ",pönämaï,True," ïmöimpa , ante Itota wabänö mänömaï beyë ämaingampa "
x, Ante apënedäni ëñente wedinque Edode weetë në nö ëñënäni ïnänite awëmö äñete ,pönäni,True," ate , Nëmö eyedënö mä pönï tamö amïnitawo "
x, Weetë wedenque ïnäni guiquënë diqui minte guiyänemö adinque quëwenguïnö guiyänö guiite ,pönänipa,True," ,” ante Itota apënecantapa "
x," Ïninque , Wengonguï quï , ante në godönäni ñënënäni tönö Wengonguï nänö wee angaïnö ante në odömönäni tönö tömänäni ïnänite Edode äñecä godongämë ",pönänitapa,True, 
x, Ëñëninque ñï ceyente Itota weca töï töï ente ,pönatapa,True, 
x, Apënedäni ëñëninque ede në godönäni ñënënäni guiquënë në aadäni näni Picencabo tönö ,pönë,True," cöninque godongämë Ao äninque tontadoidi në wee wänönäni ïñönänite tiguitamö padatamö bacoo godöninque ,"
x, De änäni ,pönente,True," wedinque wäänä edö cete piyënë cequïnää ,” ante Eedëmiya wodi yewëmongacäimpa "
x, “ Oodabe awënë gobedönadodoidi teiyënäni ïñönäni mïnitö adobeca Oodabe quëwëninque Bedëë ïñömö mïni quëwencabo ïñömö mëa ,pönï,True, ïmïni incete ede wïï önömïnique incemïnimpa 
x," Wengonguï , Odömoncebiimpa , ante bitö ïmite da pönongä ",pönïmi,True," ïmipa , do ëñëmönipa "
x," Wengonguï , Botö quïmïni badinque mïnitö Itota Codito nempo quëwëninque teiyë waëmö ëwocate quëwencemïnimpa , ante cedinque äñecä ",pönïmïni,True," inte mïnitö acemïnimpa , ante yewëmömopa "
x, Ïñempa wïï wido cecete ante ,pönïmo,True," inte botö tömënäni näni angaïnö baï ïinque cebo bacëimpa , ante pömo ïmopa "
x, Ponte ayönäni Mäatedöniabe quëwente Pabodo tönö godongämë në ,pönïna,True, Gayo tönö Aditadoco a ongöna adinque tömënäni tömëna ïnate bei ongonte quingë mäo tömënäni näni aincönë ñënencönë go guiidänitapa 
x," Nëente pönäni adinque , Në nëente ",pönïnäni,True," tönö në cömäingä wede pönente pönänipa , ante adinque Itota ïñömö në cömäingä ingante , — Botö wëmi ëñëmi "
x, Ayë tömënäni näni ente ,pönincoo,True," wi empodinque oodo tönö oguï waa quï tönö tï nä öni pequï tönö , Bitö quï impa , ante pede godönäni engacäimpa "
x, Do ,pöningä,True," ingante ede awincaque adinque , Æcänö ingää , ante ëñënämaï inte cedäni guiquënë quïëmë näni ceïnënö ince ede do cedänipa "
x, Ante önöwënenque pönëninque möwocodë wïïmöñongä Wengonguï tömengä anquedo ingante da pönongä ,pöninque,True, anquedo ïñömö ïïmaï angantapa 
 , Angä go ate Wengonguï tömengä anquedoidi pöninque Itota beyë ,pönö,True, waa cegadänimpa 
 ," ﻿ Ïincayë ate në Ponguingä ïñömö , Wengonguï quï , ante nämä wepë eyepë godoncecäimpa , ante odömoncete ante cedinque Wengonguï , Ïïmaï cete cëningä wepë ",pönöedäni,True," , ante do wee angacäimpa "
 ," Ayë wacä , Bitö quinca ",pönömi,True," ente cete ate weetë pönömo ëe , ante në angä ingante bitö pe gompodämaï incebiimpa ,” ante Itota apënegacäimpa "
 ," Ante wee äñönäni Itota ïñömö , — Mänimpodänique nëëmïni ince ente mämö pede ",pönömïni,True," ëmoedäni , angantapa "
 ," Mänömaïnö ante apënebi ëñëninque botö weetë , Mänïöme tömäo ongöñöme ",pönömo,True," ëninque bitö tömäme Awënë babaïmipa , ante wëne ince änewengantapa "
 ," “ Ämo ëñëninque ede në nö cedäni guiquënë , ‘ Awënë ïñempa eyedënö bitö gue ënente weyömi dice ",pönömöni,True," cëmitawogaa , ancedänimpa "
 ," Angä ëñëninque cömäwaingä , Botö ïmote wabänö ",pönöna,True," enguïmo , ante pönëninque ëëmö ayongä"
 ," Ede , Waodäni botö ïmote waa acedänimpa , ante pönëninque cemïni ïninque mönö Mempo öönedë në quëwengä ïñömö mïnitö cedï beyë weetë ",pönönämaï,True," ïmaingampa ,” angantapa "
 , Mïnitö wadäni ïnänite tee mante godömïni näni enganca weetë adoganca ,pönönäni,True, encemïnimpa 
 , Mänïnö beyenque tömënäni Itota ingante bei ongonte botö nempo ente mämö pede ,pönönänimpa,True, 
 , Mänïnö beyenque tömënäni Itota ingante bei ongonte botö nempo ente mämö pede ,pönönänitapa,True," , ante Pidato do ëñengantapa "
 , Ede botö wedö ante cöwë waadete pönëmïni incete mïnitö da ,pönonce,True, ceyömïnite wee cete ï eiquedö da pönonguïmïnii 
 ," Ayë apënedinque , “ Botö ede botö Mempo weca ocë ëmente gote ate mïnitö beyë ante mïnitö tönö godongämë cequingä ingante da ",pönonceboimpa,True, 
