x, Ayë weetë ocai encamö inte mönö pe pagenguinque wangö ,tënämaï,True, oguincai bamë impa 
x, Pancadäniya ïñömö Apio näni godonte ëïñömö ganca pöninque mönitö ïmönite mämö bee ,tënäni,True, ate godongämë gotamönipa 
x, waodäni näni quëwëñömö tece pöñongä në baate wedäni önompo tipempoga ïnäni pö bee ,tënänitapa,True, 
x, Mänïï ëmëmäa tao ti weente Guedatabe pöñongä wëne inte quëwëna ïñömö wao wodido quëwente pöninque Itota ingante mämö bee ,tënatapa,True, 
x, Incete Codito ingante mönö pönencabo tönö godongämë pöninque botö wadäni näni tede baï ,tëne,True," tinco mïido ganca tedequï ince wïï tededinque weetë , Wadäni ëñencedänimpa , ante mënea pönï edonque apënedinque waa tobaïmopa "
x," Quëwëñongä , Eedotadëë quëwënäni tönö Oodeabe tömäo quëwënäni tönö Oododänonga biyöne tömäo quëwënäni tönö tömengä weca tate bee ",tëninque,True, änänitapa 
 , Ayë tömengä Wengonguï oncö ñënencönë yabecönë ongonte apënecä ëñencete ante tömänäni weetë baäne ïñö pö baäne ïñö pö bee ,tënönänimpa,True, 
 ," Weetë , Mönitö godongämë cencemönimpa , ante mangë mangë ",tënongampa,True, 
 ," Ayë ede , “ Waodäni näni në boo ",tënöningä,True," ingante aquïnäni ïnänipa ,” ante Wengonguï angä ëñente wataa näni yewëmongaïnö baï ïinque bacëimpa , ante mänömaï batimpa "
 ," Waocä , Todigo tömëmö wati wati ",tënöninque,True," botö tënönïñömö önömancaque baquinque botö apente ëninque waïña tömämö oncönë da wenceboimpa , ante timpode nëente wo ëentodö wo ëentodö cedinque ontapocoo weëincoo wade ñëmente wo ëwengampa "
 ," Ayë ate Itota nänö në ëmïñënïnäni wadäni ïñömö , — Mönö Awënë ingante atamönipa , ante Tömato ingante apënedäni ëñëninque tömengä weetë , Botö ïñömö tömengä önönempo näni daagö timpodïñömö , Æyömönö empocä , ante adinque önongompoca gampodinque ayë tömengä betagonta ïnö näni tapa ",tënonte,True," codïñömö botö tömëmo önongompoca gampote ate pönëmaï wedö , angantapa "
