 ," Ayë tömengä nänö odömonte apënedïnö baï në ëñente cedäni ïñömö tömengä tönö näni guëa godö möwënïnö ante , Mönitö wëne wëne cemöni inte ancaa wewente awedö , ante pönente ñimpo cedämaï ïnäni ïninque tömënäni ïnänite adobaï botö cebo beyenque nanguï wëne wëne bate ",wewëmaïnänipa,True, 
x, “ Mönö nantate ,wewëmämo,True," ö ëninque mönö daicawoidi teëmente gote mäo wido cete baï cedinque tömengä teëmente wengä beyenque quëwëmö ïmompa ,” ante Itaiya nänö angaïnö baï Itota cegacäimpa "
x," Äñongante Itota , — Mäadota , Mäadota , bitö wa wa wa cecete ante ",wewëmi,True, awedö 
x," Oodeoidi nanguï ïnäni ïñömö Mäadota tönö Mäadiya weca pöninque , Mïnatö tönïñacä wengä ate ",wewëmïna,True," incete piyënë cete quëwencemïnaimpa , ante waadete apënecete ante pönänitapa "
x, Mïnitö guiquënë ayamöidi ïnämaï ïñömïnite Wengonguï mïnitö ïmïnite godömenque waa adinque eyepë pönongä cente apa ,wewëmïni,True, 
x," Ede mïnitö ïmïnite pïinte pänäni baï mïnitö ayë de äñedë Wengonguï beyë në apënegaïnäni ïnänite adobaï pïinte pangadänimpa , ante toquënë ",wewëmïnii,True," ,” ante Itota odömonte apënegacäimpa "
x," Botö , Tömengä ingante pïïnämaï inceboimpa , ante pönëninque , Wedenque ",wewëmïnipa,True," , ante apënebopa "
x, Ayë mönitö tönö äanque baï mïnitö nantate ,wewëmïnitawo,True, 
x," Weetë ede , Wëmo ince ",wewëmo,True," ince botö öönedë Awënë angä ëñente cöwë ceceboimpa , ante ecänö äna guiquënë tömengä ïñömö ede cöwë quëwencecäimpa ,” ante Itota apënegacäimpa "
x," Tömënäni , Itota apënecä ëñengëimpa , ante ayë , Wëne wëne inte ",wewëmö,True," inte mönö waa ede bacëimpa , ante pöninque a ongönänitapa "
x," Ayë adobaï në pönënäni ïnänite wïwa cedäni caate weyönänite wacä , Ata cepobo goquïmi , angä incete në caate wedönäni pancadäniya weetë , Ee abi caate ",wewëmoe,True," , änänitapa "
x, Wapiticë cemïni ïñömïnite epogadö piyënë cete ,wewëmoï,True, 
x, Codito në nantate wegaingä beyë nantate wewëninque mönö tömengä tönö äanque baï nantate ,wewëmompa,True, 
x, Quïëmë beyë wemöna ince ayë mönatö ïmönate togente pänäni ,wewëmöna,True, incete mönatö mïni wede pönënö beyenque weetë wampo pönente batamönapa 
x, Mönitö nantate ,wewëmöni,True, amïnitawo 
x, Ede mänïne beyë wïwa botö cequïnö entawëninque botö yeguincamenca ñä ceyente baï inte ,wewëmopa,True, 
x," Ïninque mïnitö , ‘ Quïmönö impa cenguïmöö ,’ ante , ‘ Quïmënö impa bequïmöö ,’ ante ayë , ‘ Quincoodö impa wëñaquïmöö ,’ ante pönëninque guïñente ",wewënämaï,True, ïedäni 
x," Adinque , Itota mänömaï cecampa , ante Tidiabe tömäme gode änäni ëñëninque waodäni pöninque në wëne wëne inte ",wewënäni,True, ïnänite tömengä weca ente pönänitapa 
x, “ Nö cedäni beyenque wadäni pïinte pänäni në wewënäni ïñömö ede tömënäni näni watapë toquinque ,wewënänipa,True, 
x, Tömënäni näni tëï pïñëmämo önömïñë ïnö ëmïñënäni inte önompo ëmempoque apäicä ganca godö cedäni beyë waodäni nanguï pönï ,wewënänitapa,True, 
x," Ayë , Quïëmë daicawo gawënäni ince quïëmë beyë wence cete wewënäni ince mïnitö eyepë inte godö cemïni ate në ",wewënïnäni,True," waa bacedänimpa , ante pönö cegacäimpa "
x, Idöme goyönäni ede wacä onquiyengä wantepiyë dote wadepo cöwë wepë wante bidämaï weë ,wewëningä,True, ïñömö ñöwo Itota önöñabe ïnö pöninque tömengä weocoo yewedecooque gampocantapa 
x, Tömengä ïñömö ede ancaa quidi quidi dowente ,wewëninque,True, wante wante ïñö gongapamö të weë të weë cecampa 
x, Ayë waodäni wëne wëne inte näni ,wewënö,True, ante ayë quïëmë beyë wence cete wedäni ince Itota tömënäni näni wedö ante pönö cecä ate tömänäni waa badänitapa 
x, Në pïinte cedäni nempo ,wewëñömïnite,True," botö gä pe empote ö ëninque pönö cebo ate eyepë badinque mïnitö weetë guïñënämaï inte botö Wengonguï ïmo beyë cecemïnimpa , ante Wengonguï në pönö cequingä inte apënegacäimpa "
x, Mänömaï ïnäni inte babeidi wïñaate wedïnäni baï engë gantidämaï ïnäni baï waodäni ince ,wewëñönäni,True, Itota tömënäni tönö godongämë wewente baï pönengantapa 
x, Ñöwo ïñömö Itota mïñë näni quëwënincabo ayë ca ,wewëñönänite,True, Mäadiya Mäagadadënä ince tömënäni ïnänite mäo apënecantapa 
x, “ Tömengä önöwoca guidömëmö taadö weë gote më mämonte baï ïñömö ongöninque nanguï ämogate ,wewënongä,True, inte gomö ayongä Abadäö wodi a ongongä acantapa 
x," Äñongante Abadäö , ‘ Botö wëmi , Datado ïmecayedë wëne wëne ämogate ",wewëñongante,True, bitö mäincoo waëmoncooque ente todinque quëwënömiimpa 
