x, Cayë guiidämaï ï ïninque mäincoo ,wodämaï,True, ongompa 
x, Weetë adotaque në ëningä guiquënë tömengä wade godinque onguipodë ëë ,wodinque,True," awënë godonte ëinta ëninque tee moncate wë wodongampa ,” angantapa "
x, Weetë tömengä möwocodë wïïmöñongä wacä angä ëñëninque Oodeabe ,wodo,True, tebë godinque Gadideabe gocantapa 
x," ﻿ Mänïñedë nanguï ïnäni epodö mïido ganca ïnäni adoyömö pö bee të bee të cedinque goto gongëñönäni Itota tömengä mïñë në godäni ïnänite täno apënedinque , “ Paditeoidi ïñömö wadö tedete wadö ceyönäni mïnitö weetë wadö näni cedö ante , Päö yede empoquï baï wodö ",wodö,True," cepa , ante gomö adinque tömënäni näni ceïnö baï cedämaï ïedäni "
 , Ayë në ö enguïnäni adobaï mänïñömö be tate guiidämaï ïnäni ïninque mäincoo cöwë wë ,wodönämaï,True, ee ongompa 
 ," Idegoidi , Öme awëmö ate pöeda , ante mënaa ïnate da godönäni gote pöñönate Adacaba wodi në towente quëwengä ince , Botö oncönë guiieda , ante tömëna ïnate wë ",wodongacäimpa,True, 
 , Ayë wadäni mänïöme në quëwënäni ïñönänite Wengonguï wido cecä ate mönö wëmëidi Ootowee wodi mïñë ponte öme ëninque Wengonguï oncö ëmontaicö näni ente mongengaincö mämö ,wodongadänimpa,True, 
 ," Ayë , Mänömaï badinque tömënäni Wengonguï nänö në wë ",wodongaingä,True," ingante Codito ingante edonque acedänimpa , ante botö mänömaï beyë ante edemö pönï odömonte apënebopa "
 , Waocä gote mänincoo adinque adodö ëë wote ëninque wayömö wë ,wodongampa,True, 
 , Tëï ëmonte në gänä cedäni ïnänite cenguï mänää näni angaïnö botö wë ,wodönï,True, cenguï ïñonte godömo ente cencedänimpa 
x, Ayë tömengä mïmöno nänö wentamö wë ,wodönincoo,True," da tadonte ate baï edonque ate wedinque tömengä ede weente guidömëmë ñongëninque Wengonguï ingante , Bitö adobique në waa cebi ïmipa , ante waa apënebaingampa "
 , Wengonguï nänö wë ,wodönö,True, ince tömengä nänö nö ëñënö ince tömengä nänö nö odömönö ince ante botö mïnitö weca pöninque odömonte apënebo ëñëninque mïnitö godömenque pönëmaïmïnipa 
 , Ïninque botö ede ancai guïñente wedinque ede tao godinque onguipodë ëë wote bitö tadento daga wëninque ede wë ,wodontabopa,True, 
 , Ïñempa ongaicoo ömedë pe ïñömö weocoo ante daque daque dadämaï inte ,wodonte,True, tïnämaï tömenque pe aedäni 
