x, Ayë në ö ,ëna,True, guiquënë tömengä tönö godongämë timpote wegöna ïninque Itota ingante pïinte adobaï wëne wëne ante badete togadaimpa 
x," Äñongante Itota ïñömö , — Ïïmaïne ante nänö wee angaïne ïñömö ede tëïne pönï ",ëne,True," ïñonte mönö nanguï ëñente cedinque waa cecëimpa , angantapa "
 , Wengonguï anquedo tänocä godinque tömengä owetadë ,ënë,True, ince inguipoga gao cecantapa 
 , Odemö wi ,ënebi,True, guiimönie 
 , Ïninque quïnö odemö botö wi ,ënebo,True, ince mänïnemö wacä edö cete tee mönequingää 
 ," Në tee mönete baï wedäni ïnänite bitö , Wengonguï pönö wi ",ënecä,True," beyenque mïnitö abe tawente gocemïnimpa , ante godö apënebi ëñencedänimpa "
 , Në aacä beyë odemö në wee cecä wi ,ënecampa,True, 
 , Odemö mönitö beyë wi ,ënecëimpa,True," , ante aa pecä baï cedinque mïnitö , Æbänö cequïmoo , ante ëñencete ante Wengonguï ingante nanguï apëneedäni "
 , Ede waodäni tömënäni awënë wayömö gote ëëmë bete ocë ëmente ponte aa pecä ëñëninque quingë wi ,ënecete,True," ante wänö cönäni baï cedinque mïnitö adobaï , Awënë poncecäimpa , ante wänö cöedäni "
 , Ponte ëñëñongä Pegodo ince aa pecä ëñëninque watapë tote wedinque tömengä wïï pönëninque odemö wi ,ënedämaï,True," pogodo gote ede wade guiidinque , Pegodo ince oncodo a ongongä tamëñedäni "
 ," Ede tente tömëmë ënete baï , Wënongëimpa , ante ",ënedänipa,True, 
 , Ayë ede në ëacä nänö da wënincade wi ,ënedinque,True, mïincoo tönö pedencoo tadonte odömongä baï në odömonte apënecä ïñömö adobaï cecampa 
 , Ayë adobaï mönö cencadë cëï cenguï beyenque ,ënëmompa,True," ,” ämïnitawo "
 , Botö weca në pongä ïñömö cöwë cenguï gue ,ënënämaï,True, baï quëwencecäimpa 
 , Ede mïmö ,ënënäni,True, inte baï tömënäni awinca wi ëmonte adinque önömonca wi ëmoncate ëñencedönänimpa 
 , Tömënäni guiquënë mïmö ,ënënänipa,True, diyë Wengonguï weca ponguïnänii 
 ," Ïninque mönö Awënë tömengä ingante , — Mïnitö Paditeoidi ïñömö ede oweta tönö podato cencadë ïnö wentamö ",ënencoo,True, ee adinque yabeque mënongate baï cemïni ïmïnipëë 
 , Tömengä ïñömö Wengonguï Teiyë Waëmö Önöwoca angä ëñente beyenque ,ënengä,True, adinque bitö ïñömö tömengä ingante ee moncebiimpa 
 , Incete tömengä picengadecä ince dobe ede önompo ëmempoque go adoque apäicä yedëmadä inte tömengä wëñengä ede onguïñengä ingante ,ënengampa,True, 
 , Mänïöne tömënäni näni wenguïmämo näni wewenguïmämo näni gue ,ënenguïmämo,True, pö wecedänimpa töö 
 ," Tömengä ebänö angää , ante ",ënënïnäni,True, inte në apënedäni ïñömö ede tacace cedinque tömënäni weocoo yabecooque gä tadongate tece ëmëwo pedingä Taodo näni änongä önöwaca ïnö ñö cedönänimpa 
 , Editabeti wodi guiquënë oo pönï ,ënëninque,True, tömengä wëñengä onguïñengä mangacäimpa 
 , Ïninque nenque ñäö apäidö ince tï wodönoincade ,ënënö,True, ince quïnante ayë apäiquïï 
 , Bitö në ,ënënongä,True, ingante Wengonguï nanguï waadecä beyë tömengä adobaï tocecäimpa 
 , Æi quëwëninque tömengä wantepiyë coadenta ëöne mänimpoöne itedë woyowotë cënämaï quëwëninque gue ,ënente,True, wegacäimpa 
 ," Mïnitö , Awente baï cënämaï inte waa quëwengëimpa , ante mïni änewënö guiquënë pedencoo baï inte ëwenguincoo baï ",ënepa,True, 
 , Ayë quïnö odemö botö tee mönebo ince mänïnemö wacä edö cete wi ,ënequingää,True, 
 , Ate tömengä ïñë ,ënete,True, nanguï tedete ïïmaï ante odömonte apënecä ëñengadänimpa 
 , Ïninque wepë näadintamö godonte näni ,ënïme,True," ante , Wepenguipo impa , ante näni pemönïme ïñömö ñöwo ganca impa "
