 ," Ayë , Bitö Wengonguï ingante nanguï apënebi ïmipa , ante pönencedänimpa , ante cedinque tömënäni weocoo ñä cewate ñä cewate doyë guënë ",ëwa,True, badöninque doyë pönï wëñate mongënänipa 
 , Ïñempa inguipoga quëwëninque ëmëwaque ,ëwabi,True, incete bitö cöwë bitö wënämaï quëwenguinque öönedë eibi waa ïmaimpa 
 , Botö önöwa ,ëwabo,True, aedäni 
 , Mänïñömö Ditada ïñömö ede wacä cabëwaingä tömengä önöwa tipëwaa wëne wëne ,ëwacä,True, ëñagaingä inte dao dao godämaingä pegaingä inte të contate a ongongantapa 
 , Ïñempa mänömaï wete tedecä ince önöwa cöwë waocä baö ëñate ,ëwacampa,True, 
 , Tömënäni wënonguïwaque pogodo goquïwaque ,ëwadänipa,True, 
 , Angä ëñëninque Ootee ïñömö ede waëmö weocoo nïno näni änoncoo godonte ëninque Itota wodi baö ïnï wi empote weë wi ,ëwadinque,True, pede weënonte ente gocantapa 
 , Ïninque mönö aquïnö ante awinca ëmöninque mönö dao dao goquïnö ante önöwa ,ëwamompa,True, 
 ," Mäincoo da wenguincade ënämaï inte goedäni , Weocoo mïni ëñacooque ëñate awencata mïni ëwataque ",ëwate,True," ongonto mïni nëentoque nëente goedäni ,” angantapa "
x, Idöme goyönäni ede wacä onquiyengä wantepiyë dote wadepo cöwë wepë ,wante,True, bidämaï weë wewëningä ïñömö ñöwo Itota önöñabe ïnö pöninque tömengä weocoo yewedecooque gampocantapa 
