x," Ayë , Bitö Wengonguï ingante nanguï apënebi ïmipa , ante pönencedänimpa , ante cedinque tömënäni weocoo ñä cewate ñä cewate doyë guënë ",ëwa,True, badöninque doyë pönï wëñate mongënänipa 
 ," Äñönäni Itota weetë tömënäni ïnänite , — Wengonguï teiyë waëmö oncö ince mïnitö ïincö be tate ",ëwëmïni,True," ïninque botö mëönaa go adoöneque ïñö mïincö mënonceboimpa , ämopa "
 , Incete mïnitö baö ince ocaguï ince adoguinque ince ëmëwo ,ëwënämaï,True, ingëimpa 
 , Ïñempa odömäno awënë beyë në ,ëwënäni,True, ince mïnitö waadete pönenganca adoganca cedinque tömënäni ïnänite në waadete pönënänique ïnänite waadete pönënänipa töö 
 , Wëne ïñömö wante ïñö tao godinque adodö pö guiite ede cöwë quëwëninque botö wengä ingante ede ,ëwence,True, cecampa cebii 
 ," Mönö wenguïmämo ante wëne awënë ince në angä ïñongante Itota , Botö näñe wëninque tömengä ingante ede ömëe ",ëwenceboimpa,True," , ante ïïmaï cegacäimpa "
 , Wengonguï oncö teiyë waëmö oncö ï ïñonte waocä be tate wido cecä adinque Wengonguï näëmë tömengä ingante ede ömëe ,ëwencecäimpa,True, 
 , Waocä mänömaï wo ,ëwencete,True, ante timpode nëengä baï mönö në Ponguingä ïñömö adobaï oo pönï apente ancecäimpa 
 ," Ayë , Odömäno awënë beyë në ",ëwengä,True, baï ingampa cebii 
 ," Waocä , Todigo tömëmö wati wati tënöninque botö tënönïñömö önömancaque baquinque botö apente ëninque waïña tömämö oncönë da wenceboimpa , ante timpode nëente wo ëentodö wo ëentodö cedinque ontapocoo weëincoo wade ñëmente wo ",ëwengampa,True, 
 , Tömengä ingante mönö wo ,ëwengëimpa,True, 
 , Weetë mönö ede ömëe ,ëwenguënëmö,True," ïmompa , ante pönëmïnitawo "
 ," Ayë apënedinque Itota , “ Ïninque , Wengonguï beyë në apënegaingä Daäniedo wodi , Ñömëï baï öö wadö näni wo ",ëwenguïmämo,True," ince Wengonguï oncö teiyë waëmoncönë ente mämö cö cequïnänidö anguënë , angacäimpa "
 , Mäningä në wïwa cedongä ïñömö Wengonguï ëmëwo nänö në wo ,ëwenguingä,True, ingampa 
 ," Waodäni , Mönö piyënë cete guïñënämaï quëwëmompa , ante näni tedeyedë ënengä ïñontobë wëñë nantate wecä baï tömënäni adobaï ïñontobë näni ömäe ",ëwenguïnö,True, baquïnö anguënë 
 , Ede tömëmi tiguitamonque nëëninque ede bitö ömëe ,ëwenguinque,True, gobäwe 
 , Odömäno awënë beyë në ,ëwëningä,True, Mäateo tönö Tömato mënaa ïnapa 
 ," tömengä ingante wapiticë apënedinque , — Bitö ïñempa Wengonguï teiyë waëmö oncö ince be tate wo ",ëwëninque,True, ede mëönaa go adoöneque ïñonte do mënonce ämitawo 
 , Weetë ede baö tönö önöwoca tadömengadenguipo në ömëe ,ëwënongä,True, ingante guiquënë mïnitö tömengä ingante guïñente weedäni 
 , Weetë wade ñëmente wo ,ëwente,True," baï cedinque tömengä në ontapocoo weëincoo baï ïnäni ïnänite cöwë becoyömö iya tangä gonte wecedänimpa ,” ante Wäö apënegacäimpa "
x, Todigo waïñacooque oncönë da ,wente,True, në mangä baï tömengä adobaï në waëmö ïnäni ïnänite apente engä ate tömënäni tömengä nempo guiicedänimpa 
