 , “ Wengonguï mönö Awënë ingante bitö mïmö entawente waadedinque bitö ocai encabi inte nö pönëninque bitö önöwoca ,ëwocabi,True, inte ede tömengä ingante edemö waa waadete pönëe 
 ," Mänömaï cedinque , Botö Mempo ingante botö ",ëwocabo,True," ïmopa , ante ayë , Botö adobaï botö Mempo nempo quëwëmopa , ante ëñenguïmïni inte ayë ëñëninque pönencemïnimpa , ante Itota angacäimpa "
 ," “ Waodäni , Botö waëmö ",ëwocabopa,True," diyë öönedë Awënë weca go guiiquïmoo , ante në wedäni ïñömö tömënäni näni watapë toquinque ede öönedë Awënë Odeye nempo tömënäni quëwenguïnö do ëadänipa ,” angantapa "
 , Ayë wëne wentamö ,ëwocacä,True, inte në quëwengä mänïñedë tömënäni odömöincönë a ongöninque ïñontobë yede ante apënecantapa 
 , Ïninque waocä önöwoca mänïnö beyenque wentamö ,ëwocacampa,True, 
 ," Ïninque , Codito ingante godömenque ",ëwocaceboimpa,True," , ante nanguï cedinque botö , Wëënë botö entawengaïnö ompotacoo baï impa , ante wido cebopa "
 , Bitö Taodo weca godinque cebi ate tömengä wëënëñedë nänö ëmönö baï adinque Wengonguï Teiyë Waëmö Önöwoca ingante da pönömo ëninque ,ëwocacecäimpa,True," , ante mönö Awënë angä ëñëninque botö bitö weca pontabopa "
 ," Mänömaï ï ïninque Wengonguï nänö tëï pïñënö encete ante mïnitö , Wengonguï Önöwoca ingante ",ëwocacëimpa,True," , ante Eedotadëë ïñömö wänö cöedäni , angacäimpa "
 , Tömengä weetë da pönongä ate Wengonguï Teiyë Waëmö Önöwoca pö guiicä ,ëwocacemïnimpa,True," ,” ante Wäö mänïñedë apënegacäimpa "
 ," Tömengä , Da pönonguïmo , ante nänö në angaingä ingante ante ente ",ëwocacete,True, ante mïnitö ñöwo wänö cöedäni 
 , Weetë mempodämaï inte nänö cënö beyë waocä wentamö ,ëwocadämaï,True," ingampa , ante ede Itota apënegacäimpa "
 ," ﻿ Ayë ate tömengä mïñë në godäni önompo tipempoga go mënäniya mänimpodäni ïñönänite Itota äñecä pönäni ate tömengä , Botö pönö cebo ate mïnitö në ämïni badinque wëneidi në wentamö ",ëwocadäni,True," ïnänite wido cecemïnimpa , angantapa "
 ," Da godongä gote apëneyömo Wengonguï , Waocä ebänö mïmöno pönengä ingää , ante në ëñënongä inte ede tömengä Teiyë Waëmö Önöwoca ingante oodeoidi ïnämaï ïnäni ïnänite da pönongä ente ",ëwocadänipa,True, 
 , Ayönäni Wengonguï Teiyë Waëmö Önöwoca ince tömänäniya pö guiicä ,ëwocadänitapa,True, 
 , Botö Önöwoca ingante da pönömo ente ,ëwocadinque,True," botö ïmo në cecä ïñömö , Botö nö cete apente anceboimpa , ante tömengä oodeoidi ïnämaï ïnäni ïnänite mäo apënececäimpa "
 , Weetë teiyë waëmö botö ,ëwocadö,True, ante bitö ïmite pönö apënebo ate bitö ëe 
 , Tömengä ïñömö tëï ëmongä ,ëwocadongä,True, ïñongante botö weetë wedämo ïnömo inte tömengä awencata ince edö cete godö ente nëëmaïmoo 
 ," Ayë , Ïincayë ate mïni godömenque nanguï enguinque mïnitö ñöwo botö Önöwoca ingante ente ",ëwocaedäni,True," , ante tömengä Önöwoca ingante ñöwo da pönongä ente ëwocamïnipa "
 , Ïincayë Ponguingä mönö Codito adobaï tëï pïñënongä inte tömënäni tönö godongämë godinque tömengä Önöwoca ingante pönongä ëninque tömënäni ompade bete baï ääwocaque baï ,ëwocagadänimpa,True, 
 , Ede mïni pönënö möotatamö baï guiyä pönï ,ëwocamïni,True," ïninque mïnitö änanquidi ïñömö ongonquidi adinque , Nänënë gobäwe , ante ämïni baï ede änanquidi ince do gä gote wayömö gongencedönimpa "
 ," Tadoteoidi guiquënë , Mëwoga waomö ",ëwocamö,True," inte mönö ñäni ömëmongëimpa , ante , Babe ancedö , ante Baa äninque , Önöwocaidi tönö anquedoidi Wengonguï weca owodänipa , ante adobaï ede Baa änäni ïnönänimpa "
 , Ayë në ëñëmö cemö ïñömonte Wengonguï tömengä Teiyë Waëmö Önöwoca ingante da pönongä ente ,ëwocamompa,True, 
 , Botö wengä wëne babetadecä ingante ,ëwocampa,True," , ante wedinque botö tömengä ingante bitö weca ente pontabopa "
 , Cenguï ince waocä mïmönë guiipa wentamö ,ëwocaquingää,True, 
 , Weetë Wengonguï Önöwoca cecä beyenque në ëñadäni ïñömö Wengonguï Önöwoca ingante ,ëwocate,True, quëwënänipa 
