 , Mïni mäincoo ,ëïnëmämo,True, ante ede ñimpo cedinque ee aedäni 
 , Quïëmë impa bitö ,ëïnëmi,True, botö tömää ede do godömo encebiimpa 
 , Ïninque në ëacä ingante wënömïni ince tömengä nänö quincoo ante ,ëïnëmïni,True," incete mïni ëïnënö , ante ënämaï ïmïnipa "
 ," Ede wacä quï tiguitamö ince oodo ince weocoo ince , Botö quï bacëimpa , ante cöwë ",ëïnënämaï,True, ïnömoimpa 
 , Incete waodäni ïñömö në botö obegaidi baï ïnönäni inte në ö ,ëïnënäni,True, ïnänite weetë ëñënämaï ingadänimpa 
 ," Ede wëne wëne cedäni quïëmë beyë näni ëïnente wedö ï , awinca inte adinque näni ëïnente wedö ï , ante wïï mönö Mempo Wengonguï pönö cecä ate ",ëïnënänipa,True, 
 , Quïëmë ,ëïnengä,True," adinque bitö godömi engä ate botö bitö weca adodö pöninque bitö godönimpo adopo weetë pede pönömo encebiimpa , ante gocampa "
 , Mïni wacä quï ö ,ëïnënö,True, ayë nämanque ante mïni towënö beyë oweta cencadenta ïnö opogö tagate eyede baï impa diyë 
 ," Mänïnö ante wadäni në ëñënämaï ïnäni näni cabo näni cabo wedäni incete mïnitö guiquënë , Mönö ",ëïnente,True," wedö ante mönö Mempo ïñömö ede do ëñengampa , ante pönëninque ede guïñente wedämaï incemïnimpa "
x," Waocä do ëningä inte , Æ ̈ ",ïnente,True," webopa , ante quïnante anguingää "
