 , Ayë ede bitö ocai encabi inte nö pönëninque bitö baö tëï pïñente ,ëñabi,True," inte ede godö waadete cedinque tömengä ingante waa waadete pönëe ,” ante nänö yewëmongaïne tëïne ïñonte mönö nanguï ëñente waa cecëimpa "
 ," Mïnitö mänömaï cedinque ede öñabo mïni minte peyabo , Oguï waa cenguï , ante mïni tä pete ",ëñabo,True," ince ede , Wengonguï quï impa , ante pancayaboga godömïnipa "
 ," Ïninque mïnitö , Botö baö tömëmo quï ",ëñabopa,True," , ante edö cete ämïnii "
 , Mangä ,ëñacä,True," adinque tömengä ëmöwo , Ëmänoedo , ante godö pemoncedänimpa "
 ," Ayë , Wacä Awënë Odeye ",ëñacampa,True," , ante tededäni ëñente wedinque mänïöme tömäme awënë odeye Edode weetë pïinte bayongä Eedotadëë quëwënäni tömänäni tömengä tönö godongämë guïñente wedänitapa "
 , Itota ïñömö Betänia godinque në baadingä Timönö oncönë go guiite ,ëñacantapa,True, 
 ," Wengonguï Önöwoca beyë apënebo ëñëninque mïnitö tëï pïñente ëwocacemïnimpa , ante cecete ante botö mïnitö weca ",ëñaceboimpa,True," , ante webopa "
 ," Äñongante , — Oodeabe ïñömö Bedëë näni quëwëñömö mänïñömö ",ëñacecäimpa,True," , ante Wengonguï beyë në apënecä ince ïïmaï ante yewëmongacäimpa , ante apënedänitapa "
 ," Ïninque , Waëmö ënodö në pönongä inte mönö ïmonte godömenque eyepë pönï pönongä ente ",ëñacëimpa,True," , ante pönëmïniyaa "
 , Mïnitö mempoga ,ëñacemïnimpa,True," , ante Wengonguï mönö mïmö mënongacä entawëmompa "
 , Godinque Tetadea pö ti weëninque Eedotadëë ïñömö Itota Codito ingante godongämë näni pönencabo weca ,ëñacete,True, ante eicantapa 
 , Ede botö ,ëñadämaï,True," ïñedë tömengä do ingacäimpa ,” ante nanguï pönï yede äninque Wäö apënegacäimpa "
 , “ Bitö tece ,ëñadäni,True," tönö goömë në gänäni ïnänite apënebi ëñente , tömënäni Ao ante nö pönï tededinque , Wengonguï teiyë waëmö ingänö , ante watapë apënedänipa "
 ," Waocä , Botö wë manguinque , ante änämaï ïñongante ",ëñadänipa,True, 
 , Itota mänïñedë Betänia godinque në baadingä Timönö oncönë guii ,ëñadinque,True, cencongantapa 
 , Ïninque öönedë quëwënäni waa näni ,ëñadö,True, wayö ïñonte inguipoga quëwëmö waa pönï mönö ëñayö guiquënë wïï adobaï ëñamö ïmompa 
 , Në aquïïñö ñömenguïñö ,ëñadongä,True, ince tömengä mempoga ëñadämaï inte edö cete baö ñömäadämaï ïñö ëñaquingää 
 , Ayë weë Aacobo wodi wënäni Oodaa näni caipë ,ëñagadänimpa,True, 
 ," Mïmöno waa ceïnëmönipa , ante ëwocayömïni baö aquïïñö ",ëñamïni,True, inte wenteye bamïnipa 
 , Mönö baö adoyonque pönï ,ëñamö,True, incete wïï adodonque mönö cequënënö ante ëñamompa 
 , Mönö baö adoyonque pönï ëñamö incete wïï adodonque mönö cequënënö ante ,ëñamompa,True, 
 , Wengonguï nanguï pönï godonte engä beyenque mïnitö baö tömengä quï ,ëñapa,True, 
 ," Pönäni ate tömengä , Codito näni angaingä ïñömö eyömönö ",ëñaquingää,True," , ante ebänö yewëmonte öñö amïnii "
 , Ayë weë Yete wodi wengä Dabii ,ëñate,True, pedinque awënë odeye bagacäimpa 
 ," Wengonguï , Mïnitö ëñate quëwenguintaique , ante yabeque wïni caate baï pönongä ",ëñayömö,True," mönö wenguënëñö ede de bacëimpa , ante encete ante wemompa "
 , Gote ,ëñayongä,True," , Equito onguïñengä ince botö guiidengä ingante wïwa cecä caate wecampa , ante adinque Möitee wodi tömengä guiidengä ingante wee cecete ante cedinque tiyënö tiyë cedinque Equito onguïñengä ingante wënongä wengacäimpa "
x, Weetë ëëmëno ante wente ëninque ömepodäni inte wewënäni ïnänite cömante wewënäni ïnänite bee ,ñante,True, wewënäni ïnänite babetamönäni ïnänite wente ëe 
