 , Mïnitö weca ecänö nänö ,ëñëmämo,True," wïï eyepë ïna adinque tömengä , Pönömi ëñëmoe , ante Wengonguï ingante apënequënengampa "
 , “ Ootee ,ëñëmi,True, 
 ," Angä ëñëninque Näatänaedo , — Æbänö ïmoo , ante bitö ebänö cete do ",ëñëmii,True," , Ante äñongä Itota weetë tömengä ingante , — Pedipe ïñömö bitö ïmite ayë aa pedämaï ïñedë bitö iigowencawa të contabi ïñömite botö bitö ïmite do atabopa , angacäimpa "
 ," Ede tömenca adinque mïnitö , Awë ebänö ïwë , ante tä pete bete do ",ëñëmïni,True," baï , Ïïnäni edänidö ïnänii , ante ëñencete ante tömënäni näni cedïnö adinque ede do ëñencemïnimpa "
 ," Mänïnö ñöwo botö , Gomö aedäni , ante wee äninque botö wïï päonque ante apënetabopa , ante quïnante wïï ",ëñëmïnii,True, 
 , Tadömöö wedenque ëñengä ïñongante botö godömenque nanguï ëñëmo inte mïnitö weca ongöñömote mïnitö ïñempa wïï ,ëñëmïnipa,True, töö 
 ," Mänïnö ante ïinque odömonte apënedinque Itota tömënäni ïnänite , — Botö odömonte apënedö tömänö ante edonque ",ëñëmïnitawo,True, 
 , “ Botö Mempo nö ëñengä inte pönö odömongä beyenque botö ïñömö tömänö ante në ,ëñëmo,True, ïmopa 
 , Woboyë nänö pëmëmämo ,ëñëmö,True," ince , Ædonö pëmente pö , edonö pëmente go , ante ëñënämaï ïmompa "
 , Wïï mönö ïmonte në odömönäni näni odömönö baï tömengä ïñömö në angä inte baï ede godömenque nöingä ante odömongä ,ëñëmompa,True," , ante tedegadänimpa "
 ," Ayë , Ïïnänique në ëñënäni incedänimpa , ante botö në angaïnäni ïnänite odömonte botö apënebo ëñëninque tömënäni weetë , Wengonguï ecänö ingää , ante në ëñënäni badäni ate mönitö adomönique äanque baï në ",ëñëmöni,True, ïmönipa 
 ," Godongämë ongönäni guiquënë , Itota godö cecä ate babetade ïnïnäni ince tededäni ",ëñëmönipa,True," , ante guïñente wedänitapa "
 ," Äñönäni Itota , Do ",ëñëmopa,True, 
 ," Ayë godömenque , Wengonguï tömengä nänö awëmö ëñengaïnö ante pönö apënecä ",ëñëna,True," inte tömëna mänïnö ante në apëneda ïnapa , ante ëñenguënëmïni ïmïnipa "
 ," Edode guiquënë , Nëmö në nö ëñënäni botö änïnö ante ",ëñënämaï,True," inte de godänipa , ante adinque ede enguï bacantapa "
 , ﻿ Itota Bedëë näni quëwëñömö ëñacä ate mänïñedë ede Edode Oodeabe awënë odeye nänö ïñedë ede në nö ,ëñënäni,True, gobe nenque tamönö quëwënäni inte Eedotadëë pongadänimpa 
 ," Incete , Në nö ëñënäni ïñömö nö cedänipa , ante adinque , Näwangä nö ",ëñënänipa,True," , ante mönö ëñengëimpa ,” ante Itota apënegacäimpa "
 , “ Nämaa näni quëwëñömö në Ca ca wewënä nänä Ca ca wepämo ,ëñënänitapa,True, 
 , Tömëmö waïmö botö änïmö baï ïnäni guiquënë Awënë Odeye ingante näni ,ëñencabo,True, ïnänipa 
 ," Ëñëninque oodeoidi weetë Bedea ïñömö pöninque , Pabodo wïwa apënecä apa ",ëñence,True," quëwëmïnii , äninque wapiticë tededäni ëñëninque godongämë ongönäni guiquënë enguï badänitapa "
 ," Wadäni odömonte apënedäni ëñëninque bitö weetë , Nö intawo , ante ëñencete ante cedinque botö yewëmöninta adinque ede do ",ëñencebiimpa,True, 
 ," Ayë , Quïnö wëne wëne cecäï ante pïinte änänii , ante ëñencete ante tontadoidi ïnänite apënedinque , Mïnitö cöwë cedïnö baï cedinque tei tei pämïni caate wedinque Pabodo tömää tömengä cedïnö edonque pönï apënecä ",ëñenceboimpa,True," , angantapa "
 ," Tömënäni ïñömö , Wantepiyë tedebo beyenque Wengonguï ",ëñencecäimpa,True," , ante babe ante pönëninque önöneque tedewënänipa cemïnii "
 ," Godinque mïnitö , Öönedë Awënë Odeye oo poncecäimpa cemïnii , ante mäo apënemïni ",ëñencedänimpa,True, 
 ," Ede tömenca adinque mïnitö , Awë ebänö ïwë , ante tä pete bete do ëñëmïni baï , Ïïnäni edänidö ïnänii , ante ëñencete ante tömënäni näni cedïnö adinque ede do ",ëñencemïnimpa,True, 
 ," Weetë wëne wëne cete intawo , ante apënebi ",ëñencemönimpa,True, 
 ," Ponte äninque , — Oodeo Awënë Odeye ïñömö ñöwocä ëñadingä ïñömö eyömönö owocää , ante ",ëñencete,True, ante wemönipa 
 ," “ Ayë weetë ede , ‘ Botö Wengonguï cöwë quëwengä baï botö änö cöwë baquïnö anguënë , ante ämi ïninque Wengonguï ",ëñengä,True," beyenque bitö änïnö ante cöwë cedinque bitö wadö cedämaï incebiimpa ,’ ante Möitee wodi dodäni ïnänite angacäimpa "
 ," “ Mönö Awënë ebänö pönengää , ante pönente wedinque ecänö ",ëñengää,True, 
 ," Tömengä ingante adinque botö watapë tobopa ,” ante öönedë ïnö apënecä ",ëñengacäimpa,True, 
 , ﻿ Mänïñedë Wäö mönö në epënë guidönongä inte Oodeabe önömeca ponte apënecä ,ëñengadänimpa,True, 
 , Codito ingantedö ante watapë ,ëñengaïmo,True, inte botö ïïmaï ante apënebopa 
 ," Ayë , Mönö Codito poncecäimpa , ante do ",ëñengaïnäni,True, inte tömänäni Wengonguï beyë adoyömö apënegadänimpa 
 , “ Mänömaï beyë Wengonguï mönö në ,ëñengaingä,True, ïnongä ince ïïmaï ante apënegacäimpa 
 , Wadäni nämä ocai encadäni tönö nanguï adinque në ëñënäni tönö mänïnö bitö ,ëñengaïnö,True," ante ëñënämaï incedänimpa , ante cedinque bitö cegaïnö ante wë wodonte baï pe wëënegabiimpa "
 ," Mänïnö ante wadäni në ëñënämaï ïnäni näni cabo näni cabo wedäni incete mïnitö guiquënë , Mönö ëïnente wedö ante mönö Mempo ïñömö ede do ",ëñengampa,True," , ante pönëninque ede guïñente wedämaï incemïnimpa "
 ," Ayë Itota , Wengonguï Awënë nempo quëwëninque ebänö cequïï , ante ëñencedänimpa , ante ïmeca quëwënäni näni ceïnö ante godömenque nanguï pönï odömöninque godongämë ongönäni näni ",ëñenganca,True, apënedinque idewaa 
 ," Mänïnö beyenque tömënäni Itota ingante bei ongonte botö nempo ente mämö pede pönönänitapa , ante Pidato do ",ëñengantapa,True, 
 ," Taadö töïnö pïnonte baï cedinque mïnitö wëne wëne mïni cedïnö ante ede wido ceedäni ,’ ante aa pecä ",ëñengëimpa,True," ,”"
 ," Ayë apënedinque , “ Dodäni näni wee angaïnö ante në adïmïni ïñömö mïnitö në ",ëñenguënëmïni,True, inte ede mïni wequinque nö pönente ëñënämaï ïmïnipa 
 ," Botö guiquënë , Wengonguï , Ïïmaï ceedäni , ante nänö wee angaïnö ante cöwë ",ëñenguënëmo,True, inte botö mönö Awënë Codito nempo quëwëninque tömengä nänö angaïnö ante cöwë ëñente quëwëmopa 
 , Ïninque mönö tömengä tönö adobaï wente baï ingaïmö inte mönö wëënëñedë mönö ëñenguënengaïnö ante ede edö cete weetë ,ëñenguënëmö,True, inguïmöö 
 ," Äñongante Abadäö weetë , ‘ Möitee wodi nänö wee ante yewëmongainta Wengonguï beyë në apënedäni näni yewëmongainta do mänäni inte ede bitö tönïñadäni ïñömö mäninta adinque , Æbänö ï , ante do ",ëñenguënënäni,True, ïnänipa 
 ," Ayë adobaï , Mönö Möitee wodi nänö wee angaïnö ante ëñente beyenque mönö ",ëñenguënënö,True," ante entawëninque mönö nö cequënënö ante adobaï tömänö ante entawengëimpa , ante bitö pönëmitawo "
 ," “ Ïñempa önompo ëmempoque go mëa detebo näni tededö ebänö ante tededänii , ante wïï ",ëñenguï,True," ï ïninque bitö yewëmönämaï ïe ,” angantapa "
 ," “ Mänïï quiyacä nänö quiyaïnö ante apënedinque botö , Wengonguï Awënë ingante ebänö ",ëñenguïï,True," , ante odömoncete ante apëneyömo mïnitö ëamonca ongonte ëñëedäni , angantapa "
 , Ïninque ñöwo godömenque odömonte apënebo incete mïnitö edö cete godömenque ,ëñenguïmïnii,True, 
 ," Ædö cete , Nö impa , ante ",ëñenguïmoo,True, 
 ," Ayë apënemïni ate në wëne wëne cedingä cöwë ëñënämaï ingä ate wedinque bitö ïñömö , Itota në Codito ingampa , ante mïni pönencabo weca gote apënebi ",ëñenguïnäni,True, 
 , Wë womonte ï ïninque tömënäni edö cete ,ëñenguïnänii,True, 
 ," Ede mönö waocabo ince , Adocanque önöwënenque pönëë cöñongante wacä , Æbänö ante pönëë congää , ante edö cete ",ëñenguingää,True, 
 , Quïnö ante wë wodonte baï ï ïñömö mänïnö ante ïincayë ate tadonte edonque ate baï ,ëñenguinque,True, ñöwo wë wodonte impa 
 , Ñöwoöne tömënäni näni ,ëñenguïöne,True, do batimpa 
 ," Ñöwo ïñömö , Botö apënebo në ",ëñënïnäni,True, inte tömënäni näni wentamö mongëmämo do mongënänipa 
 ," Wäänä Mäadiya wodi nänö baquecäñedë Ootee wodi tömengä ingante do , Monguïmo , angä ",ëñëningä,True, inte ayë mönämaï ïñongante Wengonguï Teiyë Waëmö Önöwoca angä ëñëninque do yedëmadä bacä adänitapa 
 ," Awënë Wengonguï Odeye nempo ebänö cete quëwenguïï , ante mönö apënedö ante önömoncaque ëñëninque waocä mïmöno pönënämaï ingä ïninque tömengä mïmöno nänö ",ëñënïnö,True, ince wëne në wïwa cecä ïnongä inte pö ö engampa 
 ," Wäänä Mäadiya wodi nänö baquecäñedë Ootee wodi tömengä ingante do , Monguïmo , angä ëñëningä inte ayë mönämaï ïñongante Wengonguï Teiyë Waëmö Önöwoca angä ",ëñëninque,True, do yedëmadä bacä adänitapa 
 , Weetë në ömepocä ïnongä ingante wedenque nänö ëadï ince ö ënäni baï në ëñënämaï ingä guiquënë adobaï wedenque nänö ,ëñënö,True, ince ö ente baï ëwente baï baquïnö anguënë 
 , Mänömaïnö ante apënebo ,ëñëñömïnite,True, Wengonguï Teiyë Waëmö Önöwoca pönö badongä ate idegoidi ïnämaï ïnäni ince teiyë waëmö ëwocate quëwënäni badänipa 
 ," Ayë , Go guiite ",ëñëñömönite,True," Codönedio ïñömö , Æbänö cetimpa , ante apënedinque mönitö ïmönite ïïmaï ante apënecantapa "
 ," Godömenque apënedinque Itota , “ Æcänö waodäni ",ëñëñönäni,True," botö ïmote Ao äninque , Bitö botö Awënë ïnömi ïmipa , ante äna tömengä öönedë eiyongante botö tömengä ingante weetë ede Ao äninque , Bitö ïñömö botö mïñë në gogaïmi ïnömi ïmipa , ante botö Mempo ëñëñongä anceboimpa "
 ," Mänïñedë adocanque wëne wëne nänö cedïnö beyë tee mönete a ongongampa , ante tömänäni do ",ëñënönänimpa,True, 
 , Incete godongämë becönäni ,ëñëñönänite,True," , Wengonguï ayongä cöwë godonceboimpa , ante në äningä inte në wënongä ingante tömengä , Baquecä nänö änïnö baï ceedäni , änongäimpa "
 ," Godömenque apënedinque Itota , “ Æcänö waodäni ëñëñönäni botö ïmote Ao äninque , Bitö botö Awënë ïnömi ïmipa , ante äna tömengä öönedë eiyongante botö tömengä ingante weetë ede Ao äninque , Bitö ïñömö botö mïñë në gogaïmi ïnömi ïmipa , ante botö Mempo ",ëñëñongä,True, anceboimpa 
 ," Itota ebänö cete wapiticë ämaingää , ante pönëñönäni adocanque idegoidi näni wee angaïnö ante në ate ",ëñënongä,True, ïñömö Itota ingante angantapa 
 , Ayë ,ëñëñongante,True," , “ Bitö botö Wëmi ïnömi inte në botö waadebi ïmipa , ate tobopa ,” ante öönedë ïnö apënecä ëñengacäimpa "
 , Wengonguï pönö apënecä ëñëninque waodäni tömënäni näni ,ëñënonque,True, ante Wengonguï beyë yewëmongadänimpa 
 ," Itota ince tömengä gämënö dadi ëmente pömö acä adinque Pegodo ïñontobë , Æ , äninque , “ Tawadiya ñöwoöne pedämaï ïñonte bitö botö ïmotedö ante wadö ate apënedinque , Dice abogaa , ante tededinque mempoga go adopoque anguïmi ïmipa ,” ante Itota wëënëñedë apënecä ",ëñentabopa,True, 
 ," Äñongante , — Ao ",ëñentamönipa,True, 
 , Tömengä ïñömö Wengonguï Teiyë Waëmö Önöwoca angä ,ëñente,True, beyenque ënengä adinque bitö ïñömö tömengä ingante ee moncebiimpa 
x, Ede odë wengänä pïnä gäwa baö wänä ,ñente,True," baï cedinque tömënäni ëñënämaï inte cedinque dadi ëmente tömëmïni baö wangö pocente baï pïïmaïnänipa , ante mïnitö apënedämaï ñïne ceedäni ,” ante Itota apënegacäimpa "
