x," Tömengä ïincayë wengä ate Wengonguï , Ñäni ",ömëmöe,True," , angä ñäni ömëmongä ate , Æbänö angacäï , ante tömengä ëmïñënäni pönënänitapa "
x," Weetë ïinque baquïöne ïñonte bitö , Ñäni ",ömëmöedäni,True," , ämi ëñëninque bitö quïnäni tömänäni ede ñäni ömëmoncedänimpa "
," Incete Iteca wodi adocanque pönï ïñongante Abadäö wodi , Botö wengä do wengä incete Wengonguï , Ñäni ömëmöe , angä ïninque do ñäni ",ömëmömaingampa,True," , ante wede pönëninque godonce cegacäimpa "
x," Ayë mönö beyë ante cedinque tömengä mönö Awënë Itota ingante , Bitö në nö cedömi inte ñäni ",ömëmömi,True," beyenque tömënäni botö ayömo nö entawënäni bacedänimpa , ante cedinque angä ñäni ömëmongacäimpa "
x, Ñäni ,ömëmömo,True, ate mïnitö ede mänïñedë ate apënecemïnimpa 
x," Mänïöne adoöne ïñonte Tadoteoidi në , Waocä wëninque ñäni ",ömëmönämaï,True," ëmëwo wengampa , ante në änewënäni inte Itota weca pöninque , Ïïmaïnö ante ëñencete ante wemönipa , änänitapa "
x, Do ëmëwo wente öñönäni ïñönänite botö godö cebo ate ñäni ,ömëmönäni,True, amïnapa 
x," Ede ñöwo ïñömö , Itota ñäni ömëmongä ate tömënäni në ñäni ",ömëmönïnäni,True, inte Eedotadëë näni waëmö quëwëñömö ponte a ongöñönäni nanguï ïnäni agadänimpa 
x," Ïninque tömengä ïñömö , — Æpënë në guidönongä Wäö wodi dobe wente ñäni ",ömëmöningä,True, inte ïingä Itota ïñömö ïmaingampa 
x, Tömengä do wente ñäni ,ömëmöninque,True, pongampa töö 
x," Ayë , Mönö ñäni ",ömëmönö,True," ïñömö ïinque bagatimpa , ante tedewëna ëñëninque wadäni pancadäniya näni wede pönënö ince wido cete baï quëwënänipa "
x, woyowotë mö ñöninque baäne ñäni ,ömëmöñongä,True, ïïmö ïñö ïïmö ïñö tömëmö nänö quiyadïmö ince awëmö tä bocate pepa 
