,""" Dojam je da su koraci poduzeti prema tim medijima , kojima su izrečene presude , selektivni te da institucije ne koriste iste metode u provođenju zakona prema svim medijima "" , izjavila je za SETimes ravnateljica Medijskog instituta Make",donije ,False,"Biljana Petkovska . 
",
,Taseva je rekla da je Transparency podnio zahtjev Ustavnom sudu Make,donije ,False,"za preispitivanje zakonitosti zapljene . 
",
x,"Nema sumnje kako će naša akcesija u Savez , kao i akcesija druge dvije zemlje potpisnice Jadranske povelje - Albanije i Hrvatske - uvelike pri",donijeti,False," dodatnoj stabilizaciji regije . 
",
,Setimes : Predstavlja li razmirica oko imena između Make,donije ,False,i Grčke zapreku primanju Make,"u NATO ? 
"
,Crvenkovski : Razmirica oko imena između Make,donije ,False,"i Grčke bilateralne je prirode i ni po kojoj osnovi ne spada u kriterije za članstvo , te u načelu ne bi trebala predstavljati zapreku našoj integraciji u NATO . 
",
,Usprkos razočarenju Make,donije ,False,"zbog nedobivanja pozivnice za članstvo u NATO-u prošlog tjedna , dužnosnici su obećali kako će nastaviti raditi u cilju članstva . 
",
,"Američki predsjednik George W. Bush , koji se tijekom vikenda sastao s Crvenkovskim i Gruevskim u Hrvatskoj , ponovio je potporu kandidaturi Make",donije ,False,"za članstvo u NATO-u . 
",
,Kasnije ovog mjeseca predsjednik Make,donije ,False,"Boris Trajkovski i glavni direktor UNESCO-a Koichiro Matsuura bit će pokrovitelji regionalnog foruma čiji je cilj unaprjeđenje stabilnosti , tolerancije i demokracije u jugoistočnoj Europi . 
",
,"Albanija "" je jedna od prvih zemalja koje osjećaju posljedice tog krijumčarenja , zato što poznati koridor koji se proteže duž Turske , Bugarske , Make",donije ,False,"i drugih mediteranskih zemalja Albaniju čini jednom od prvih zemalja koje se suočavaju s tim krijumčarenjem "" , dodao je Ivanov . 
",
x,"Ističući kako svi optuženici koje traži ICTY moraju odmah biti poslani u Haag , Drašković je kazao kako su oni ",donijeli,False," sramotu njegovoj zemlji , te ne zaslužuju zaštitu . 
",
,Rumunjski predsjednik Traian Basescu izrazio je tijekom službenog posjeta Skoplju u četvrtak ( 27. svibnja ) svoju bezrezervnu potporu težnjama Make,donije ,False,"za članstvo u NATO-u i EU . 
",
,"Ukupno 15 umjetnika iz Albanije , Austrije , Bugarske , Njemačke , Grčke , Make","donije , ",False,"Crne Gore , Srbije i Turske sudjelovalo je u radionici , koju su zajedno organizirali Zaklada za strateška istraživanja i Kulturna udruga Ikon . 
",
,"Od 186 zahtjeva podnesenih prošle godine , najviše ih je stiglo iz Bangladeša , bivše državne zajednice Srbije i Crne Gore , Indije , Make",donije ,False,"i Moldavije . 
",
x,Čelnici EU ,donijet,False," će u lipnju odluku na temelju tog izvješća . 
",
x,""" Prvo , da se snimi dobar film koji će izazvati toplinu u srcima gledatelja , a drugo da se snimi po standardima koji će mu ",donijeti,False," opis pravog europskog filma "" . 
",
,Ministri vanjskih poslova Make,donije ,False,"i Albanije , Nikola Poposki i Edmond Haxhinasto , 14. prosinca sudjeluju na sastanku na kojem su , s crnogorskim kolegom Milanom Roćenom , potpisali sporazum o slobodnom kretanju . 
",
,Ta akcija smatra se prvim korakom u programu borbe protiv piratstva i kršenja autorskih prava -- što je važno pitanje koje utječe na planove Make,donije ,False,"za priključenje EU . 
",
x,"Albanci su "" uspjeli srušiti komunizam , ali nisu navikli na novi sustav koji su sami sebi ",donijeli,False," "" , kaže student međunarodnih odnosa Ardit Bido . 
",
x,""" Prije svega , vlada je ",donijela,False," ovu odluku prije predstojećih rasprava o novom ustavu , što znači da ne želi ostaviti da se ovo osjetljivo pitanje rješava unutar ustavne strukture "" , pojasnio je . 
",
,"U radu seminara , kojeg su zajednički organizirali Bugarska akademija znanosti i njemačka zaklada Alfred Toepfer , sudjelovali su znameniti kulturni stručnjaci , znanstvenici i akademici iz Bugarske , Make",donije ,False,"i Srbije i Crne Gore . 
",
